Season,Rk,Unnamed: 1,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP,SOG,SH%
2018-19,1,,Seth Griffith,MTB,25,F,69,16,41,57,30,-12.0,4,0,4,0.232,0.594,0.826,119.0,13.5%
2018-19,2,,Logan Shaw,MTB,26,F,63,27,19,46,38,-25.0,13,1,6,0.429,0.302,0.73,152.0,17.8%
2018-19,3,,Michael Spacek,MTB,21,F,74,10,31,41,32,-7.0,5,0,1,0.135,0.419,0.554,104.0,9.6%
2018-19,4,,Mason Appleton,MTB,22,F,40,15,17,32,24,-5.0,6,0,7,0.375,0.425,0.8,107.0,14.0%
2018-19,5,,Jansen Harkins,MTB,21,F,70,15,16,31,37,-2.0,3,0,4,0.214,0.229,0.443,83.0,18.1%
2018-19,6,,Marko Dano,MTB,24,F,51,12,18,30,75,-6.0,5,0,2,0.235,0.353,0.588,125.0,9.6%
2018-19,7,,Cameron Schilling,MTB,30,D,64,6,23,29,30,2.0,1,0,2,0.094,0.359,0.453,159.0,3.8%
2018-19,8,,J.C. Lipon,MTB,25,F,60,11,15,26,121,10.0,0,2,0,0.183,0.25,0.433,142.0,7.8%
2018-19,9,,Tucker Poolman,MTB,25,D,43,5,20,25,10,4.0,3,0,1,0.116,0.465,0.581,72.0,6.9%
2018-19,10,,Logan Stanley,MTB,20,D,73,6,16,22,70,-9.0,2,0,0,0.082,0.219,0.301,150.0,4.0%
2018-19,11,,Felix Girard,MTB,24,F,70,5,13,18,85,-3.0,0,0,1,0.071,0.186,0.257,89.0,5.6%
2018-19,12,,Skyler McKenzie,MTB,20,F,47,8,8,16,28,6.0,0,0,2,0.17,0.17,0.34,60.0,13.3%
2018-19,13,,Peter Stoykewych,MTB,26,D,60,5,11,16,39,-7.0,0,0,0,0.083,0.183,0.267,127.0,3.9%
2018-19,14,,Kristian Vesalainen,MTB,19,F,22,4,9,13,10,-1.0,0,0,1,0.182,0.409,0.591,31.0,12.9%
2018-19,15,,C.J. Suess,MTB,24,F,26,8,4,12,6,-3.0,4,0,1,0.308,0.154,0.462,38.0,21.1%
2018-19,16,,Alexis D'Aoust,MTB,22,F,42,7,5,12,20,-8.0,1,1,1,0.167,0.119,0.286,57.0,12.3%
2018-19,17,,Sami Niku,MTB,22,D,20,3,9,12,14,-6.0,1,0,0,0.15,0.45,0.6,38.0,7.9%
2018-19,18,,Jimmy Oligny,MTB,25,D,32,2,8,10,35,4.0,0,0,0,0.063,0.25,0.313,28.0,7.1%
2018-19,19,,Kristian Reichel,MTB,20,F,55,2,8,10,14,-3.0,0,0,0,0.036,0.145,0.182,58.0,3.5%
2018-19,20,,Nelson Nogier,MTB,22,D,74,1,8,9,48,-9.0,0,0,0,0.014,0.108,0.122,117.0,0.9%
2018-19,21,,Emile Poirier,MTB,24,F,24,3,5,8,17,-6.0,0,0,0,0.125,0.208,0.333,27.0,11.1%
2018-19,22,,Hunter Fejes,MTB,24,F,42,3,5,8,8,5.0,0,0,1,0.071,0.119,0.19,42.0,7.1%
2018-19,23,,Ryan White,MTB,30,F,27,5,2,7,57,-4.0,0,0,2,0.185,0.074,0.259,36.0,13.9%
2018-19,24,,Cam Maclise,MTB,26,F,38,2,5,7,12,7.0,0,0,0,0.053,0.132,0.184,30.0,6.7%
2018-19,25,,Charles-David Beaudoin,MTB,24,D,57,1,6,7,44,-2.0,0,0,0,0.018,0.105,0.123,58.0,1.7%
2018-19,26,,Tye McGinn,MTB,28,F,26,2,4,6,38,-3.0,0,0,0,0.077,0.154,0.231,25.0,8.0%
2018-19,27,,Brent Pedersen,MTB,23,F,29,4,1,5,15,-8.0,0,0,0,0.138,0.034,0.172,28.0,14.3%
2018-19,28,,Luke Green,MTB,20,D,11,1,2,3,10,-5.0,0,0,1,0.091,0.182,0.273,12.0,8.3%
2018-19,29,,Chris Collins,MTB,26,F,9,2,0,2,6,3.0,1,0,0,0.222,0.0,0.222,7.0,28.6%
2018-19,30,,Johnathan Kovacevic,MTB,21,D,1,1,1,2,2,2.0,0,0,0,1.0,1.0,2.0,1.0,100.0%
2018-19,31,,Kamerin Nault,MTB,23,F,1,1,1,2,2,2.0,0,0,0,1.0,1.0,2.0,5.0,20.0%
2018-19,32,,Cole Maier,MTB,23,F,3,1,0,1,0,0.0,0,0,0,0.333,0.0,0.333,6.0,16.7%
2018-19,33,,Austin Carroll,MTB,24,F,7,1,0,1,21,0.0,0,0,0,0.143,0.0,0.143,6.0,16.7%
2018-19,34,,Nicolas Kerdiles,MTB,24,F,3,0,1,1,4,1.0,0,0,0,0.0,0.333,0.333,4.0,0.0%
2018-19,35,,Justin Woods,MTB,24,D,9,0,1,1,2,-4.0,0,0,0,0.0,0.111,0.111,4.0,0.0%
2018-19,36,,Ken Appleby,MTB,23,G,10,0,1,1,6,,0,0,0,0.0,0.1,0.1,,
2018-19,37,,Dennis Everberg,MTB,27,F,11,0,1,1,4,-3.0,0,0,0,0.0,0.091,0.091,11.0,0.0%
2018-19,38,,Kale Kessy,MTB,26,F,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2018-19,39,,Jack Glover,MTB,22,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.0%
2018-19,40,,Logan Roe,MTB,27,D,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00%
2018-19,41,,Dajon Mingo,MTB,28,F,3,0,0,0,0,3.0,0,0,0,0.0,0.0,0.0,4.0,0.0%
2018-19,42,,Jacob Cederholm,MTB,20,D,9,0,0,0,4,-1.0,0,0,0,0.0,0.0,0.0,2.0,0.0%
2018-19,43,,Mikhail Berdin,MTB,20,G,23,0,0,0,8,,0,0,0,0.0,0.0,0.0,,
2018-19,44,,Eric Comrie,MTB,23,G,47,0,0,0,2,,0,0,0,0.0,0.0,0.0,,
