Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Minnesota Lynx,34,86.0,32.4,68.4,47.3,6.6,16.6,40.0,14.6,19.4,75.5,11.2,26.6,37.8,20.8,7.6,4.7,14.5,17.7
Los Angeles Sparks,34,84.0,31.1,68.0,45.8,5.7,15.9,35.9,16.0,20.2,79.3,11.2,25.6,36.9,17.8,8.9,5.3,15.6,18.3
San Antonio Silver Stars,34,82.1,30.1,67.7,44.5,7.4,19.9,37.5,14.4,18.6,77.5,9.6,23.6,33.2,18.9,8.9,3.4,12.1,15.6
Connecticut Sun,34,81.6,29.8,69.1,43.1,5.9,16.4,35.6,16.1,19.5,82.7,10.3,24.1,34.4,17.1,8.0,3.1,13.8,15.9
Atlanta Dream,34,78.6,29.5,68.1,43.4,4.2,14.3,29.6,15.3,20.7,73.9,10.2,24.6,34.8,18.0,9.8,4.7,15.6,17.3
Indiana Fever,34,78.3,27.4,65.5,41.8,7.9,19.9,40.0,15.7,19.3,81.4,9.9,22.3,32.2,16.6,9.5,4.3,12.5,16.8
Tulsa Shock,34,77.2,27.4,67.7,40.5,8.0,21.0,38.0,14.4,19.9,72.5,9.7,19.7,29.5,15.3,9.7,2.8,13.7,19.1
Chicago Sky,34,75.2,28.1,65.3,43.1,6.1,18.1,34.0,12.8,17.5,73.0,10.7,24.2,34.9,16.3,8.7,3.8,16.7,19.5
Phoenix Mercury,34,74.7,27.2,70.7,38.5,5.7,19.3,29.4,14.7,19.3,76.1,12.3,25.2,37.4,13.8,7.1,3.8,15.8,20.5
New York Liberty,34,73.1,28.5,67.1,42.5,6.0,16.9,35.5,10.1,13.4,75.6,10.0,23.4,33.4,15.6,7.4,4.2,15.6,16.9
Seattle Storm,34,71.2,25.6,59.0,43.4,7.0,20.0,35.1,13.1,17.4,75.1,6.7,25.1,31.9,17.0,6.0,3.0,15.8,17.7
Washington Mystics,34,68.6,25.9,62.9,41.2,4.2,14.1,30.1,12.4,17.3,71.9,10.0,21.2,31.2,15.6,8.6,3.5,15.5,18.5
