Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Las Vegas Aces,40,92.8,33.6,69.2,48.6,9.3,24.9,37.2,16.4,19.5,84.0,6.2,28.7,34.8,21.7,8.1,4.8,11.1,16.0
New York Liberty,40,89.2,32.2,69.9,46.0,11.1,29.7,37.4,13.8,16.7,82.9,8.7,29.2,37.9,24.1,6.7,4.5,13.5,16.0
Dallas Wings,40,87.9,32.4,73.2,44.3,6.8,21.3,31.7,16.4,20.3,80.6,11.8,26.9,38.7,20.3,7.6,4.3,13.1,18.9
Connecticut Sun,40,82.7,30.2,67.8,44.5,7.2,20.0,36.0,15.2,19.9,76.6,8.1,25.6,33.6,20.7,8.1,3.8,12.4,18.4
Atlanta Dream,40,82.5,29.4,68.7,42.8,6.4,19.2,33.6,17.3,22.0,78.8,8.0,28.1,36.1,18.6,6.3,4.6,13.6,19.3
Chicago Sky,40,81.7,30.7,69.6,44.2,8.3,22.2,37.2,12.0,16.0,75.2,8.6,24.8,33.3,20.5,6.7,4.5,13.5,17.3
Indiana Fever,40,81.0,30.2,68.3,44.2,6.7,19.8,34.0,13.9,17.8,78.3,8.9,25.1,34.0,18.0,6.5,3.0,14.1,19.7
Washington Mystics,40,80.5,28.9,67.5,42.8,7.8,23.1,33.6,15.0,18.2,82.3,6.6,25.7,32.3,19.2,7.7,3.3,12.2,18.6
Minnesota Lynx,40,80.2,29.0,67.4,43.0,6.8,20.8,32.5,14.7,18.4,80.0,8.0,26.3,34.3,19.4,6.4,2.6,13.4,16.9
Los Angeles Sparks,40,78.9,28.4,66.8,42.5,6.5,19.5,33.3,15.6,19.1,81.9,6.7,24.8,31.5,19.0,8.5,2.9,12.5,16.9
Seattle Storm,40,78.8,27.9,68.0,41.0,8.5,24.2,35.1,14.6,18.6,78.6,8.2,26.7,34.9,17.7,7.0,4.5,14.5,17.9
Phoenix Mercury,40,76.6,28.1,63.4,44.3,6.8,20.7,32.8,13.0,16.2,80.3,6.6,24.3,30.9,19.1,5.7,4.3,14.8,18.8
