Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Phoenix Mercury,34,89.0,31.3,71.1,43.9,8.4,23.6,35.3,18.1,22.2,81.7,8.2,25.7,33.9,20.1,8.4,4.7,14.2,19.4
Seattle Storm,34,80.4,28.4,65.0,43.6,6.6,18.8,35.1,17.1,21.0,81.4,10.1,24.1,34.2,15.7,7.1,4.4,14.9,18.2
Detroit Shock,34,79.3,28.6,66.5,43.0,4.6,13.0,35.7,17.5,23.1,75.8,11.2,27.4,38.6,16.6,6.7,3.4,16.2,20.6
Connecticut Sun,34,78.7,29.4,68.4,43.0,5.7,16.8,34.1,14.1,18.1,77.7,10.4,25.5,35.9,18.2,8.0,4.6,15.4,18.9
Minnesota Lynx,34,77.5,28.6,69.3,41.2,4.8,14.6,32.9,15.6,19.8,78.8,11.7,23.1,34.8,17.5,7.0,2.8,15.4,21.0
Washington Mystics,34,76.0,25.8,63.8,40.4,4.8,15.5,30.9,19.6,24.7,79.6,9.9,23.0,32.9,13.9,8.3,3.9,16.0,22.4
Los Angeles Sparks,34,74.5,27.6,67.8,40.8,4.7,13.4,35.1,14.5,18.4,78.6,10.5,23.0,33.5,16.3,7.2,3.1,16.2,21.5
Chicago Sky,34,74.3,27.2,67.0,40.6,5.5,16.0,34.2,14.4,21.3,67.6,11.3,23.0,34.3,17.6,7.7,3.3,14.5,18.6
San Antonio Silver Stars,34,74.0,27.1,64.0,42.4,6.1,16.6,36.6,13.6,17.0,80.4,9.5,22.5,32.0,16.7,8.3,3.8,15.1,19.2
Indiana Fever,34,72.9,26.7,63.7,41.9,5.5,16.1,34.4,14.1,18.1,77.5,10.0,23.9,33.9,15.0,9.1,4.0,16.4,19.0
New York Liberty,34,71.0,25.6,61.4,41.7,7.1,19.2,37.2,12.6,17.1,74.1,8.4,23.2,31.6,14.7,8.5,3.2,17.1,18.2
