Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Phoenix Mercury,34,83.5,30.9,63.9,48.4,5.2,14.9,35.0,16.4,20.2,81.2,7.0,26.7,33.7,19.4,6.9,6.0,12.3,16.0
Minnesota Lynx,34,81.6,31.4,67.2,46.7,3.8,11.1,33.8,15.1,18.9,79.6,8.2,27.0,35.2,20.3,7.1,3.6,11.6,16.8
Tulsa Shock,34,81.2,29.4,68.9,42.7,5.4,17.6,30.5,17.0,22.1,76.8,11.7,23.0,34.7,15.3,7.2,3.2,12.5,20.3
Atlanta Dream,34,80.6,30.5,70.6,43.3,4.5,14.9,30.3,15.0,20.5,73.3,11.8,25.9,37.7,19.4,9.6,4.4,15.6,19.4
San Antonio Stars,34,77.8,29.0,67.4,43.0,6.6,18.5,35.9,13.2,16.1,82.2,8.8,22.9,31.7,18.3,7.4,2.9,11.3,16.7
Los Angeles Sparks,34,77.4,30.7,67.1,45.7,2.6,8.3,31.6,13.4,16.9,79.8,8.8,23.6,32.4,18.6,9.1,3.4,13.6,17.2
Chicago Sky,34,76.2,28.6,66.0,43.3,3.5,10.5,33.2,15.5,19.1,81.0,8.6,25.6,34.2,16.3,7.2,5.9,13.7,19.1
Connecticut Sun,34,75.7,29.0,70.0,41.4,4.4,13.8,32.2,13.2,17.8,74.3,11.7,22.3,34.0,13.9,8.0,3.2,13.5,19.9
Washington Mystics,34,74.3,27.8,65.3,42.5,5.2,16.5,31.7,13.5,16.9,79.8,9.7,25.7,35.4,17.0,6.9,3.1,14.1,18.8
Indiana Fever,34,74.1,26.7,63.8,41.8,5.1,14.9,34.6,15.6,20.7,75.5,10.2,22.1,32.3,14.2,8.2,4.1,13.6,21.0
New York Liberty,34,72.1,27.6,65.4,42.2,3.0,9.9,30.5,13.9,18.5,75.2,9.1,25.6,34.8,16.0,7.2,2.9,14.2,17.4
Seattle Storm,34,70.9,26.3,60.3,43.6,5.9,17.6,33.6,12.3,15.8,77.9,6.4,22.2,28.5,16.6,6.6,2.0,13.6,17.3
