Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Phoenix Mercury,34,92.8,33.2,72.2,46.0,7.6,19.6,38.6,18.9,22.1,85.5,8.4,26.6,35.0,18.4,6.6,5.3,14.4,21.7
Atlanta Dream,34,84.1,32.0,71.4,44.9,3.4,11.0,30.5,16.7,22.2,75.4,11.9,25.1,37.0,16.1,9.7,3.6,16.7,21.8
Minnesota Lynx,34,80.3,27.9,66.4,42.0,7.1,20.4,34.8,17.4,22.5,77.2,9.6,22.4,32.0,15.0,8.9,3.8,14.3,20.4
Detroit Shock,34,78.0,28.8,67.0,43.0,4.5,12.8,35.1,15.9,21.2,74.8,11.0,25.1,36.1,16.9,7.7,2.9,15.6,22.5
Connecticut Sun,34,78.0,28.4,70.0,40.6,5.9,18.8,31.6,15.2,20.4,74.7,10.5,24.3,34.8,17.9,7.4,3.8,12.9,19.9
San Antonio Silver Stars,34,76.9,27.5,64.4,42.7,7.5,21.7,34.6,14.3,18.4,77.8,8.3,22.6,30.9,17.6,7.6,3.4,13.6,17.5
Indiana Fever,34,76.6,26.2,65.1,40.2,6.3,18.7,33.4,18.0,21.9,82.2,10.1,22.9,33.0,15.5,11.0,3.4,14.5,20.4
Washington Mystics,34,76.0,27.4,64.9,42.3,4.1,12.5,32.6,17.1,24.3,70.1,11.4,23.6,35.0,13.3,9.2,3.5,17.0,21.3
Chicago Sky,34,75.7,27.4,62.8,43.5,5.5,13.9,39.5,15.5,20.4,76.0,9.0,22.8,31.9,15.6,7.3,4.1,14.7,17.8
Seattle Storm,34,74.8,26.7,62.2,43.0,5.0,14.3,35.2,16.3,20.8,78.5,9.3,23.2,32.5,15.8,8.1,4.4,15.1,20.9
Los Angeles Sparks,34,74.5,28.6,66.6,43.0,4.5,15.1,29.7,12.8,16.2,79.1,10.7,26.0,36.7,17.3,6.4,4.9,15.1,17.1
New York Liberty,34,73.9,26.5,63.8,41.5,7.5,20.9,35.8,13.5,17.1,78.7,8.2,23.6,31.8,15.5,8.1,3.6,15.2,18.7
