Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Las Vegas Aces,36,90.4,32.3,70.3,46.0,9.5,26.4,36.1,16.3,19.8,82.3,6.9,28.4,35.3,20.8,7.7,3.9,11.1,15.8
Chicago Sky,36,86.3,32.7,67.9,48.1,7.2,20.9,34.5,13.7,16.6,82.3,7.2,27.6,34.8,24.3,7.3,4.3,13.8,16.2
Connecticut Sun,36,85.8,31.9,69.0,46.2,6.4,18.0,35.4,15.7,19.9,78.9,10.2,26.9,37.1,21.1,8.8,2.7,14.4,17.1
Dallas Wings,36,82.9,29.7,68.2,43.5,7.8,22.6,34.3,15.9,20.8,76.4,9.6,24.3,33.8,18.8,7.1,3.7,12.6,18.8
Seattle Storm,36,82.5,30.4,68.8,44.2,9.3,25.6,36.1,12.4,15.1,82.5,7.8,25.8,33.6,22.6,8.3,4.2,12.8,15.6
Minnesota Lynx,36,82.4,30.2,67.1,45.0,6.8,19.6,34.8,15.2,19.4,78.4,9.0,28.0,36.9,20.6,6.1,2.8,14.6,16.9
Phoenix Mercury,36,81.1,28.6,66.5,42.9,8.8,26.7,32.9,15.2,18.6,81.7,6.8,24.3,31.2,19.3,7.4,4.5,13.3,19.8
Washington Mystics,36,80.2,29.3,66.8,43.9,7.6,22.5,33.8,14.0,17.9,78.4,8.0,26.9,34.9,20.3,7.6,3.7,12.8,15.9
New York Liberty,36,79.6,28.8,66.7,43.1,9.7,27.6,35.1,12.4,15.0,82.3,7.0,27.3,34.2,20.7,6.1,4.1,14.6,18.2
Los Angeles Sparks,36,79.4,29.8,66.9,44.6,5.4,16.9,32.0,14.4,18.3,78.6,6.9,23.4,30.4,18.9,8.6,3.9,13.8,18.3
Atlanta Dream,36,78.5,28.8,68.4,42.0,7.5,21.4,35.1,13.5,17.3,77.7,8.6,26.8,35.5,17.6,7.8,3.1,15.2,19.5
Indiana Fever,36,78.0,28.4,69.4,40.9,6.8,20.1,33.8,14.4,19.4,74.6,9.8,23.5,33.3,18.0,7.2,3.6,15.1,20.0
