Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Dallas Wings,34,86.1,28.8,71.0,40.6,6.7,20.9,32.0,21.9,26.6,82.3,11.1,23.4,34.5,15.6,8.1,3.7,13.0,20.2
Connecticut Sun,34,86.0,32.3,72.1,44.8,6.6,18.0,36.5,14.9,20.0,74.2,9.8,27.0,36.7,17.8,7.7,2.9,11.9,18.9
Minnesota Lynx,34,85.4,32.4,67.7,47.8,6.0,16.1,37.0,14.6,18.4,79.4,9.6,25.6,35.2,20.5,8.1,3.9,13.5,16.0
Los Angeles Sparks,34,83.5,31.7,66.0,48.0,5.3,15.6,34.1,14.9,18.0,82.4,6.6,24.8,31.4,18.6,9.3,3.7,11.9,16.7
Seattle Storm,34,82.6,30.1,63.8,47.3,7.3,20.0,36.3,15.0,18.6,80.7,6.4,24.6,31.0,20.2,6.5,3.2,13.4,18.1
Chicago Sky,34,82.1,32.3,70.0,46.1,6.4,17.0,37.5,11.1,14.2,78.6,7.6,26.2,33.8,21.1,5.7,5.6,15.2,19.2
Phoenix Mercury,34,81.9,28.6,65.0,44.0,6.5,19.1,33.9,18.1,23.0,78.8,7.6,24.5,32.1,17.6,6.4,4.5,13.4,21.5
Washington Mystics,34,81.7,28.4,68.3,41.6,6.8,21.5,31.7,18.0,21.4,84.3,10.3,26.1,36.3,16.4,6.3,4.6,11.1,18.4
New York Liberty,34,79.7,29.4,69.1,42.5,5.6,17.0,33.2,15.4,19.7,77.9,10.7,28.0,38.7,16.7,6.1,3.9,12.4,19.7
Atlanta Dream,34,78.9,29.0,71.0,40.9,4.5,15.4,29.1,16.4,21.4,76.3,10.1,25.0,35.1,17.6,7.0,4.6,12.2,19.5
Indiana Fever,34,75.1,28.2,65.8,42.9,4.5,14.7,30.9,14.1,16.7,84.2,7.2,21.0,28.2,15.0,6.6,3.1,12.6,19.0
San Antonio Stars,34,74.4,28.1,65.6,42.9,4.8,14.3,33.3,13.4,17.4,76.9,9.2,24.1,33.3,17.5,6.7,3.0,14.7,19.1
