Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Las Vegas Aces,22,88.7,32.7,68.7,47.6,4.2,11.5,36.6,19.0,23.4,81.5,8.1,29.3,37.4,20.8,7.8,3.0,12.2,15.0
Seattle Storm,22,87.5,31.9,67.8,47.0,8.4,21.4,39.4,15.4,18.9,81.7,7.6,26.8,34.4,21.9,10.0,4.0,13.2,16.5
Chicago Sky,22,86.7,33.5,68.2,49.1,7.6,21.6,35.1,12.1,14.9,81.7,7.3,26.3,33.6,21.8,7.5,4.0,14.9,18.0
Phoenix Mercury,22,86.1,30.2,67.0,45.0,8.4,24.5,34.3,17.4,21.0,82.5,7.5,26.5,34.0,20.4,6.8,5.6,14.0,19.7
Los Angeles Sparks,22,84.9,32.2,67.0,48.1,7.2,18.1,39.9,13.3,16.8,79.2,6.4,25.0,31.4,20.0,9.0,3.0,13.9,18.3
Minnesota Lynx,22,84.4,30.6,67.0,45.6,8.3,21.5,38.5,15.0,18.3,81.8,9.9,24.5,34.4,19.8,8.4,3.0,14.1,16.9
Dallas Wings,22,83.4,29.5,71.0,41.5,8.9,27.6,32.3,15.6,19.1,81.5,9.0,23.7,32.7,15.6,8.2,3.2,10.9,19.7
Indiana Fever,22,81.7,29.5,66.7,44.2,6.9,20.0,34.5,15.9,19.4,81.9,9.0,24.7,33.7,19.2,5.1,3.2,15.0,17.7
Atlanta Dream,22,81.0,31.4,71.0,44.2,5.9,16.9,35.0,12.2,16.1,75.8,9.0,25.8,34.9,16.9,6.9,3.3,14.4,18.5
Connecticut Sun,22,80.4,29.7,69.5,42.7,5.9,19.0,31.2,15.1,20.0,75.5,10.0,25.5,35.5,18.3,9.2,3.1,13.3,18.8
Washington Mystics,22,80.0,29.6,68.5,43.3,8.3,24.4,34.1,12.4,15.0,82.5,7.3,24.2,31.5,19.7,7.9,2.2,12.1,17.0
New York Liberty,22,71.9,24.5,66.0,37.2,7.6,27.4,27.7,15.2,18.5,82.3,8.0,27.8,35.8,14.9,6.3,4.3,16.7,19.1
