Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Washington Mystics,34,89.3,32.8,69.9,46.9,9.3,25.4,36.6,14.4,16.4,87.5,8.4,24.9,33.3,21.9,7.6,4.6,10.9,15.5
Chicago Sky,34,84.6,31.4,70.0,44.8,7.3,21.6,33.6,14.6,17.9,81.9,8.2,28.2,36.4,21.6,6.8,4.5,14.4,17.7
Las Vegas Aces,34,82.2,30.0,70.3,42.7,5.5,15.0,36.7,16.7,21.5,77.7,9.2,29.6,38.8,20.9,7.1,4.5,14.1,16.9
Connecticut Sun,34,80.8,30.2,71.3,42.3,7.5,21.0,35.6,13.0,18.5,70.4,10.9,25.9,36.8,19.3,8.9,3.9,13.2,17.4
Los Angeles Sparks,34,80.1,30.3,70.2,43.2,7.1,20.9,34.1,12.3,14.7,83.8,8.6,25.6,34.2,18.6,8.2,3.8,13.5,18.1
Minnesota Lynx,34,78.4,30.3,67.1,45.1,5.8,17.5,33.2,12.1,15.4,78.1,9.0,25.0,34.0,20.3,8.4,3.9,15.3,16.5
Indiana Fever,34,77.6,29.0,68.6,42.2,5.8,16.7,34.6,13.9,17.4,79.4,9.0,26.1,35.1,17.3,6.3,3.7,12.9,17.4
New York Liberty,34,77.4,28.7,69.4,41.4,6.5,19.6,33.4,13.4,17.0,78.8,9.1,25.5,34.6,19.6,6.8,3.7,14.7,20.9
Phoenix Mercury,34,76.5,27.2,64.2,42.4,6.6,20.2,32.5,15.5,18.4,84.6,6.6,25.8,32.5,17.9,5.9,4.4,12.3,16.7
Seattle Storm,34,74.8,27.8,66.2,42.0,7.1,21.1,33.6,12.1,15.2,79.2,9.1,22.9,32.0,17.7,9.5,3.9,14.6,15.6
Dallas Wings,34,71.6,25.9,66.6,38.9,6.4,19.5,32.6,13.5,16.6,81.1,10.5,23.4,33.9,15.2,7.3,3.8,12.6,19.4
Atlanta Dream,34,71.2,25.6,69.2,37.1,6.4,22.0,29.0,13.5,18.0,75.2,9.9,26.2,36.1,15.7,6.6,5.4,13.5,17.6
