Rk,Season,Team,Season Leaders_Regular Season,Season Leaders_Playoffs,Unnamed: 4_level_0_ATT.,Age_AA,Age_WAA,Player Stats_GP,Player Stats_G,Player Stats_A,Player Stats_P,Player Stats_PIM,per Game_G/GP,per Game_A/GP,per Game_A/G,per Game_P/GP,per Game_PIM/GP,Shots_SOG,Shots_S/GP,Shots_SH%,Saves_SV,Saves_SV/GP,Saves_SV%,Power-Play_PPO,Power-Play_PPG,Power-Play_PP%,Penalty-Kill_PKO,Penalty-Kill_PPG-A,Penalty-Kill_PK%
17,2023-24,Manitoba Moose,Regular Season,Playoffs,3897,23.961,24.602,72,220,375,595,908,3.056,5.208,1.705,8.264,12:37,2207,30.653,10.0%,1761,24.458,0.883,247,52,21.1%,269,60,77.7%
32,2024-25,Manitoba Moose,Regular Season,,3753,24.313,24.953,72,167,269,436,1058,2.319,3.736,1.611,6.056,14:42,1934,26.861,8.6%,1855,25.764,0.891,226,36,15.9%,252,48,81.0%
29,2025-26,Manitoba Moose,Regular Season,,3646,25.026,25.289,40,103,180,283,496,2.575,4.5,1.748,7.075,12:24,1235,30.875,8.3%,1006,25.15,0.907,126,17,13.5%,140,23,83.6%
