Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Tina Charles,C,32,33.7,21.5,8.5,19.4,43.9,0.5,1.5,34.7,3.9,4.8,81.2,9.9,3.8,0.8,0.8,2.0,2016
Elena Delle Donne,F,28,33.1,21.5,7.6,15.8,48.5,1.5,3.6,42.6,4.6,5.0,93.5,7.0,1.9,0.6,1.5,1.3,2016
Nneka Ogwumike,F,33,31.6,19.7,7.4,11.1,66.5,0.5,0.8,61.5,4.4,5.1,86.9,9.1,3.1,1.3,1.2,2.1,2016
Angel McCoughtry,F,33,30.0,19.5,6.8,15.6,43.4,0.8,2.6,30.2,5.2,6.6,78.8,5.7,2.8,1.6,0.7,2.9,2016
Maya Moore,F,34,29.7,19.3,6.6,14.6,44.8,1.9,4.7,40.4,4.3,4.9,86.8,5.1,4.2,1.6,0.7,2.3,2016
Breanna Stewart,F,34,34.7,18.3,6.1,13.4,45.7,1.3,3.9,33.8,4.7,5.6,83.3,9.3,3.4,1.2,1.9,2.4,2016
Diana Taurasi,G,33,29.8,17.8,5.5,13.8,39.6,2.7,7.7,35.0,4.2,4.7,90.9,3.0,3.9,0.9,0.1,2.6,2016
Jewell Loyd,G,34,31.6,16.5,5.7,13.3,43.1,1.2,3.9,30.3,3.9,4.3,89.1,3.4,3.4,1.2,0.3,2.2,2016
Tayler Hill,G,32,29.3,15.4,4.3,12.5,34.8,1.9,5.3,35.1,4.8,5.8,82.9,2.6,2.9,1.1,0.1,1.3,2016
Candace Parker,F,34,30.8,15.3,5.6,12.6,44.2,1.2,3.2,38.2,2.9,4.1,70.7,7.4,4.9,1.4,1.0,2.9,2016
Emma Meesseman,F,34,29.3,15.2,6.2,11.6,53.3,0.9,2.0,44.8,2.0,2.5,80.0,5.6,2.3,1.2,0.7,1.3,2016
Tiffany Hayes,G,33,30.8,15.0,4.6,10.5,44.1,1.0,3.5,27.4,4.7,5.9,80.4,3.4,2.4,1.2,0.2,1.8,2016
Brittney Griner,C,34,29.2,14.5,5.2,9.6,54.8,0.0,0.0,0.0,4.1,4.9,83.1,6.5,1.0,0.4,3.1,2.1,2016
Sugar Rodgers,G,33,30.5,14.5,4.7,11.7,40.5,2.6,6.3,41.3,2.4,2.9,84.2,3.7,2.4,1.1,0.5,1.8,2016
DeWanna Bonner,F,34,31.3,14.5,4.5,10.7,42.4,1.5,4.5,32.9,3.9,4.9,79.8,5.4,2.4,1.3,0.6,1.6,2016
Odyssey Sims,G,34,31.6,14.0,4.5,12.7,35.3,1.2,4.4,28.0,3.8,4.3,88.3,2.5,3.9,1.1,0.2,2.5,2016
Sylvia Fowles,C,34,28.6,13.9,5.4,9.0,59.5,0.0,0.0,0.0,3.2,4.5,71.7,8.5,1.2,1.3,1.8,1.9,2016
Moriah Jefferson,G,34,30.4,13.9,5.4,12.8,42.6,1.0,2.6,37.5,2.0,2.6,77.5,2.1,4.2,1.6,0.1,1.7,2016
Kristi Toliver,G,33,32.1,13.2,4.3,10.1,42.6,2.5,5.8,42.4,2.2,2.5,88.9,2.6,3.7,0.8,0.1,1.4,2016
Skylar Diggins-Smith,G,27,28.3,13.1,4.2,10.7,39.0,0.9,2.9,29.9,3.9,4.9,78.8,1.9,3.4,1.1,0.3,2.3,2016
Cappie Pondexter,G,33,27.4,12.9,4.9,11.5,42.9,0.5,1.4,36.2,2.5,2.8,88.2,2.8,2.7,0.9,0.1,1.5,2016
Alex Bentley,G,34,28.8,12.9,5.0,12.9,38.5,1.4,4.9,28.6,1.5,1.9,78.5,1.9,2.5,0.9,0.1,1.4,2016
Sue Bird,G,34,31.6,12.8,4.7,10.5,44.9,2.1,4.8,44.4,1.3,1.6,78.6,2.9,5.8,1.0,0.2,2.5,2016
Tamika Catchings,F,34,24.8,12.7,4.3,9.9,43.3,1.0,2.9,35.0,3.1,3.6,86.2,4.8,1.9,1.8,0.3,1.2,2016
Chiney Ogwumike,F,33,24.3,12.6,4.8,8.2,58.7,0.0,0.0,0.0,3.0,4.2,71.9,6.7,0.7,1.0,1.0,1.5,2016
Penny Taylor,F,25,25.7,12.5,4.1,8.4,48.8,1.6,4.0,39.6,2.7,3.0,90.7,3.8,3.6,1.5,0.4,1.7,2016
Karima Christmas-Kelly,F,34,31.6,12.4,3.8,9.4,40.0,1.1,3.5,31.7,3.8,4.8,79.6,5.9,2.1,1.2,0.7,1.5,2016
Elizabeth Williams,C,34,34.7,11.9,4.6,10.4,44.2,0.0,0.0,0.0,2.7,3.9,69.2,8.1,1.2,0.8,2.3,1.2,2016
Plenette Pierson,F,27,26.6,11.9,4.3,11.1,38.7,1.1,3.3,33.7,2.1,2.6,82.9,4.6,2.0,0.8,0.4,1.8,2016
