Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Brittney Griner,C,26,31.5,21.9,8.0,13.8,57.7,0.0,0.0,0.0,6.0,7.3,81.2,7.6,1.9,0.7,2.5,2.5,2017
Breanna Stewart,F,33,32.9,19.9,6.7,14.2,47.5,1.5,4.0,37.1,4.9,6.3,78.7,8.7,2.7,1.2,1.6,2.4,2017
Tina Charles,C,34,32.2,19.7,7.7,17.4,44.2,0.7,2.0,34.8,3.6,4.5,80.4,9.4,2.6,0.8,0.7,2.4,2017
Elena Delle Donne,F,25,30.3,19.7,6.4,12.9,49.4,1.3,3.4,38.8,5.7,6.0,95.3,6.8,1.6,0.8,1.4,1.5,2017
Sylvia Fowles,C,34,30.8,18.9,7.5,11.4,65.5,0.0,0.0,0.0,4.0,5.2,76.8,10.4,1.5,1.3,2.0,2.4,2017
Nneka Ogwumike,F,34,30.9,18.8,7.2,12.8,56.1,0.5,1.6,34.0,3.9,4.5,87.0,7.7,2.1,1.9,0.5,1.5,2017
Skylar Diggins-Smith,G,34,34.2,18.5,5.6,13.4,42.2,1.4,4.1,35.0,5.7,6.4,89.5,3.5,5.8,1.3,0.8,2.8,2017
Diana Taurasi,G,31,28.5,17.9,5.4,13.5,40.0,3.1,8.1,38.4,4.0,4.4,91.2,3.0,2.7,0.5,0.3,2.0,2017
Jewell Loyd,G,34,31.1,17.7,6.1,14.2,43.1,1.6,4.1,38.6,3.9,4.5,86.3,3.2,3.4,1.3,0.4,2.5,2017
Maya Moore,F,34,31.3,17.3,6.1,13.8,44.2,1.9,4.6,41.1,3.2,3.7,85.8,5.0,3.5,1.9,0.4,1.8,2017
Candace Parker,F,33,30.5,16.9,6.3,13.2,47.8,1.4,3.8,35.4,2.9,3.8,75.6,8.4,4.3,1.5,1.7,2.7,2017
Allie Quigley,G,31,32.3,16.4,6.2,12.2,50.5,2.5,5.8,43.0,1.6,1.8,89.3,3.3,3.6,0.8,0.5,2.4,2017
Tiffany Hayes,G,33,29.8,16.3,5.0,11.5,43.6,1.5,3.9,37.2,4.8,5.6,85.4,3.8,2.4,1.2,0.2,1.9,2017
Kayla McBride,G,30,33.2,15.4,4.8,12.6,38.1,1.6,5.3,31.0,4.1,4.5,92.5,4.1,2.6,1.1,0.2,1.9,2017
Jonquel Jones,F,34,28.5,15.4,5.3,10.0,53.4,0.7,1.6,44.6,4.0,4.9,81.8,11.9,1.5,0.9,1.5,1.7,2017
Candice Dupree,F,33,31.8,15.0,6.5,13.1,49.4,0.0,0.1,0.0,2.0,2.3,88.2,5.8,1.6,0.9,0.5,1.4,2017
Glory Johnson,F,33,31.0,14.9,5.7,12.2,46.4,0.6,2.0,31.3,3.0,3.9,76.6,9.1,1.6,1.2,0.4,2.2,2017
Alyssa Thomas,F,33,29.8,14.8,5.7,11.2,50.9,0.0,0.1,0.0,3.5,6.1,56.7,6.8,4.5,1.6,0.4,3.0,2017
Chelsea Gray,G,34,33.1,14.8,5.4,10.7,50.7,1.6,3.2,48.2,2.4,2.9,82.7,3.3,4.4,1.1,0.2,1.9,2017
Stefanie Dolson,C,33,29.3,14.5,5.9,10.5,56.1,0.9,2.2,43.7,1.8,2.1,87.0,5.8,2.6,0.5,1.3,2.5,2017
Jasmine Thomas,G,32,28.1,14.2,5.3,12.7,42.1,1.7,4.2,40.3,1.8,2.3,78.1,2.3,4.3,1.6,0.1,2.4,2017
Emma Meesseman,F,23,28.4,14.1,5.9,12.2,48.2,0.6,1.9,31.8,1.7,2.0,87.0,5.7,2.8,1.0,1.5,1.7,2017
Brittney Sykes,G,34,25.4,13.9,5.0,12.3,40.8,1.1,3.2,33.6,2.8,3.8,72.9,4.1,1.9,0.6,0.5,1.7,2017
Allisha Gray,G,34,27.2,13.0,4.4,11.6,38.1,1.0,3.4,29.9,3.1,3.9,80.3,3.9,1.3,1.5,0.6,1.2,2017
Crystal Langhorne,F,34,28.4,12.4,5.3,8.2,64.7,0.0,0.1,50.0,1.8,2.4,73.5,6.1,1.5,0.6,0.4,1.7,2017
Courtney Williams,G,34,26.0,12.3,5.4,11.5,47.3,0.4,1.1,32.4,1.1,1.2,87.8,4.2,2.1,0.6,0.2,1.4,2017
Epiphanny Prince,G,28,26.8,12.0,4.1,10.3,40.1,1.2,3.4,34.4,2.6,2.9,87.8,3.6,2.9,1.3,0.3,1.3,2017
Kristi Toliver,G,34,29.1,11.9,4.1,10.0,40.7,2.2,6.6,33.8,1.5,1.8,86.7,2.0,3.4,0.7,0.2,1.8,2017
Erica Wheeler,G,34,26.4,11.8,4.6,11.5,40.0,1.5,4.4,33.1,1.1,1.4,79.2,2.2,4.1,1.4,0.0,2.3,2017
Shavonte Zellous,G,34,29.1,11.7,3.6,8.6,42.3,0.5,1.4,33.3,4.0,4.8,82.3,4.0,2.8,0.9,0.2,1.9,2017
Courtney Vandersloot,G,27,30.3,11.5,4.7,9.1,51.6,1.0,2.5,38.2,1.1,1.3,86.1,3.7,8.1,1.2,0.2,3.0,2017
Isabelle Harrison,F,34,26.6,11.4,4.8,9.6,50.0,0.0,0.1,50.0,1.8,2.8,63.5,6.4,1.4,0.8,0.7,2.0,2017
Seimone Augustus,G,32,27.7,10.9,4.6,9.2,50.2,0.6,1.4,43.2,1.0,1.2,86.8,2.9,4.0,0.6,0.1,1.4,2017
Layshia Clarendon,G,34,29.8,10.7,4.0,10.6,37.8,0.3,1.8,18.0,2.4,2.7,87.9,3.8,6.6,0.9,0.1,2.6,2017
Sue Bird,G,30,30.0,10.6,3.9,9.1,42.7,2.0,5.0,39.3,0.8,1.0,77.4,2.0,6.6,1.2,0.1,2.1,2017
Sugar Rodgers,G,33,25.6,10.5,3.6,10.7,33.9,1.9,5.6,34.2,1.3,1.6,81.5,3.8,2.3,0.9,0.5,1.6,2017
Elizabeth Williams,C,34,31.6,10.4,4.4,9.1,48.7,0.0,0.0,0.0,1.6,2.4,65.9,7.2,1.4,1.1,2.0,1.4,2017
