Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Diana Taurasi,G,32,30.1,21.6,6.5,14.5,44.9,2.5,6.4,39.5,6.1,6.8,90.3,3.2,3.6,0.8,0.6,3.0,2011
Angel McCoughtry,F,33,27.9,21.6,7.1,16.8,42.4,0.6,2.2,26.4,6.8,8.7,77.7,5.2,2.5,2.2,1.0,3.2,2011
Sylvia Fowles,C,34,34.6,20.0,7.7,13.1,59.1,0.0,0.0,0.0,4.5,5.9,76.6,10.2,0.6,1.3,2.0,2.8,2011
Crystal Langhorne,F,31,34.3,18.2,7.3,13.7,53.4,0.0,0.3,12.5,3.5,4.9,71.1,7.6,1.6,1.3,0.5,3.3,2011
Tina Charles,C,34,33.4,17.6,7.5,16.0,46.8,0.0,0.1,0.0,2.7,3.9,68.7,11.0,1.9,0.8,1.8,2.2,2011
Cappie Pondexter,G,34,33.9,17.4,6.2,15.5,40.2,1.7,4.9,34.5,3.2,3.9,81.3,4.1,4.7,1.3,0.3,2.7,2011
Penny Taylor,F,29,29.8,16.7,5.7,11.1,51.1,1.6,3.9,40.2,3.8,4.4,87.4,4.9,4.7,1.7,0.4,2.2,2011
Seimone Augustus,G,34,29.3,16.2,6.8,13.5,50.4,0.7,1.8,41.7,1.9,2.2,86.5,3.5,2.2,0.9,0.4,1.3,2011
Becky Hammon,G,33,31.8,15.9,5.3,12.1,44.0,2.3,5.8,38.9,3.0,3.4,89.2,2.9,5.8,1.5,0.2,3.6,2011
Tamika Catchings,F,33,31.5,15.5,5.1,11.6,43.8,1.0,2.8,34.8,4.3,4.9,88.3,7.1,3.5,2.0,0.9,2.2,2011
Matee Ajavon,G,34,31.3,14.7,5.1,13.1,39.1,1.1,3.9,27.6,3.4,4.1,82.9,2.4,3.1,1.7,0.3,3.1,2011
Sue Bird,G,34,33.0,14.7,5.4,12.0,44.9,2.1,4.9,42.8,1.9,2.1,87.5,2.9,4.9,1.4,0.2,2.4,2011
Candice Dupree,F,34,31.6,14.6,5.8,10.6,54.8,0.0,0.2,16.7,2.9,3.4,85.2,8.2,1.8,0.6,0.7,2.0,2011
Renee Montgomery,G,34,29.1,14.6,4.5,11.3,40.0,1.8,4.7,38.4,3.7,4.5,82.9,2.1,4.9,1.4,0.1,2.6,2011
Katie Douglas,G,32,29.4,13.9,5.2,11.2,46.5,2.1,4.7,44.0,1.5,2.2,67.1,3.9,2.8,1.3,0.3,2.0,2011
Lindsay Whalen,G,34,28.1,13.6,5.3,10.3,51.1,0.5,1.2,40.5,2.6,3.6,73.0,3.5,5.9,1.1,0.1,2.2,2011
Epiphanny Prince,G,34,29.4,13.6,4.8,12.7,37.5,1.5,3.9,37.3,2.6,3.3,80.4,2.1,3.0,2.3,0.4,1.7,2011
Asjha Jones,F,34,28.6,13.3,5.8,13.1,44.4,0.1,0.3,30.0,1.6,2.2,71.1,6.4,1.9,0.6,0.5,1.9,2011
Swin Cash,F,34,33.2,13.3,4.4,11.2,39.6,1.0,3.6,28.5,3.4,4.0,84.6,6.9,2.4,0.9,0.6,2.8,2011
Maya Moore,F,34,28.0,13.2,4.8,11.0,43.9,1.7,4.6,36.9,1.9,2.4,78.8,4.6,2.6,1.4,0.5,1.5,2011
