Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Maya Moore,F,34,34.7,23.9,8.7,18.0,48.1,1.8,5.4,33.5,4.7,5.3,88.4,8.1,3.4,1.9,0.8,2.4,2014
Skylar Diggins-Smith,G,34,35.1,20.1,6.8,16.1,42.4,1.0,3.4,28.4,5.5,6.5,84.2,2.5,5.0,1.5,0.6,2.9,2014
Candace Parker,F,30,33.2,19.4,7.2,15.4,46.9,0.6,2.1,30.6,4.4,5.2,84.6,7.1,4.3,1.8,1.4,2.6,2014
Angel McCoughtry,F,31,31.4,18.5,6.6,15.8,42.0,1.0,3.4,29.5,4.2,5.2,80.9,5.2,3.6,2.4,0.4,3.7,2014
Tina Charles,C,34,32.9,17.4,6.9,15.0,46.2,0.0,0.0,0.0,3.5,4.6,75.2,9.4,2.2,1.3,0.9,2.3,2014
Odyssey Sims,G,34,34.4,16.7,5.9,14.6,40.6,1.4,4.0,34.6,3.5,4.2,83.9,2.8,4.2,1.3,0.3,2.1,2014
Seimone Augustus,G,24,31.2,16.5,7.1,13.9,51.1,0.5,1.5,33.3,1.8,2.2,84.6,3.6,2.4,0.4,0.1,1.6,2014
Diana Taurasi,G,33,30.9,16.2,5.2,11.4,45.4,1.9,5.2,36.5,4.0,4.6,87.4,3.8,5.6,0.7,0.3,2.6,2014
Nneka Ogwumike,F,33,27.6,15.8,6.2,11.9,52.0,0.1,0.3,30.0,3.3,3.8,87.3,7.1,1.5,1.8,0.5,2.1,2014
Brittney Griner,C,34,30.7,15.6,6.4,11.1,57.8,0.0,0.0,0.0,2.7,3.4,80.2,8.0,1.6,0.6,3.8,1.9,2014
Chiney Ogwumike,F,31,29.7,15.5,6.3,11.8,53.6,0.0,0.0,0.0,2.8,4.1,69.3,8.5,0.6,1.2,1.2,1.9,2014
Epiphanny Prince,G,26,32.3,15.0,4.7,12.3,38.3,1.2,3.8,32.7,4.3,5.0,87.6,3.0,3.8,1.9,0.4,1.7,2014
Glory Johnson,F,33,32.4,14.7,5.2,11.7,44.9,0.0,0.1,0.0,4.2,5.5,76.0,9.2,1.4,1.4,0.4,2.6,2014
Candice Dupree,F,34,31.2,14.5,6.2,11.6,53.3,0.0,0.0,0.0,2.1,2.5,84.9,7.6,2.4,0.9,0.5,1.4,2014
Lindsay Whalen,G,34,30.6,14.1,5.3,11.0,48.0,0.0,0.3,10.0,3.4,4.5,77.0,4.2,5.5,0.9,0.1,1.8,2014
Erika de Souza,F,33,29.9,13.8,5.8,10.7,54.5,0.0,0.0,0.0,2.2,3.1,70.6,8.7,1.2,1.1,1.5,1.8,2014
Cappie Pondexter,G,34,30.9,13.2,4.7,12.2,38.8,0.7,2.4,27.7,3.0,3.9,76.9,3.4,3.9,1.0,0.1,2.6,2014
Katie Douglas,G,32,32.5,13.2,4.2,11.7,35.9,2.0,5.6,36.0,2.8,3.3,84.8,3.3,2.2,0.9,0.4,2.2,2014
Kayla McBride,G,34,26.0,13.0,4.5,11.1,40.6,1.7,4.2,39.6,2.3,2.7,84.6,2.3,1.7,1.0,0.1,1.2,2014
Danielle Robinson,G,33,33.1,12.9,5.0,10.9,45.7,0.0,0.2,0.0,2.9,3.1,94.1,3.5,5.3,1.7,0.2,2.4,2014
Camille Little,F,33,30.8,12.9,4.4,9.9,44.8,0.8,2.4,33.8,3.2,4.0,79.7,4.3,1.6,1.0,0.4,2.4,2014
Crystal Langhorne,F,34,28.9,12.9,5.3,9.3,57.1,0.1,0.1,66.7,2.2,3.4,65.8,7.4,1.0,0.6,0.4,2.0,2014
Tiffany Hayes,G,34,28.4,12.9,4.2,9.1,46.4,1.2,3.3,35.7,3.3,4.3,76.0,3.0,2.5,1.0,0.3,1.2,2014
Ivory Latta,G,34,31.7,12.8,4.1,10.4,39.5,2.4,6.3,37.7,2.2,2.6,83.3,2.4,3.3,0.7,0.0,1.9,2014
Jia Perkins,G,23,22.6,12.5,4.7,10.5,44.2,1.7,4.1,41.1,1.5,1.7,89.5,2.3,1.7,1.5,0.2,1.0,2014
Alex Bentley,G,34,25.6,12.2,5.1,11.8,43.3,0.9,2.8,32.3,1.1,1.4,75.5,1.7,3.7,1.3,0.1,2.0,2014
Sancho Lyttle,F,34,31.3,12.2,5.3,11.5,45.9,0.1,0.3,27.3,1.6,2.4,66.3,9.0,2.4,2.2,0.6,1.4,2014
Jantel Lavender,F,34,28.3,11.9,5.1,9.7,52.7,0.0,0.1,20.0,1.6,2.0,79.4,6.3,1.5,0.5,0.8,1.9,2014
Kristi Toliver,G,27,28.5,11.8,4.3,9.6,44.2,1.7,4.3,39.3,1.6,1.9,84.3,2.1,4.1,1.1,0.0,1.7,2014
Allie Quigley,G,34,24.8,11.2,4.2,9.5,44.4,1.2,3.1,38.7,1.5,1.7,87.9,2.2,1.9,0.7,0.2,1.8,2014
Shavonte Zellous,G,34,27.4,11.0,3.9,9.4,41.1,0.7,2.4,30.5,2.6,3.3,78.4,2.8,2.1,0.7,0.5,1.6,2014
Danielle Adams,F,34,20.6,10.9,4.0,9.8,40.7,1.1,3.7,30.7,1.9,2.3,79.7,4.1,0.9,0.6,0.7,1.3,2014
Sue Bird,G,33,29.2,10.6,3.9,10.1,38.6,1.2,3.4,34.5,1.6,2.0,83.1,2.2,4.0,0.8,0.0,2.3,2014
Penny Taylor,F,33,23.4,10.5,3.5,7.2,47.9,0.9,2.5,35.7,2.7,3.2,84.8,3.1,3.1,1.2,0.5,1.7,2014
DeWanna Bonner,F,34,29.2,10.4,3.8,8.3,45.9,0.7,2.5,27.9,2.1,2.7,78.0,4.1,2.3,1.4,0.4,1.4,2014
Briann January,G,31,28.8,10.3,3.5,9.1,38.7,1.2,3.0,38.3,2.1,2.4,88.0,1.6,3.7,1.2,0.3,2.3,2014
Emma Meesseman,F,34,27.4,10.1,4.3,8.3,52.0,0.0,0.1,0.0,1.5,1.6,90.9,6.4,2.5,1.4,1.0,1.8,2014
Alyssa Thomas,F,34,27.3,10.0,3.7,8.5,43.4,0.0,0.1,20.0,2.6,3.4,75.7,5.1,1.5,1.0,0.2,1.7,2014
Monique Currie,F,34,23.6,9.9,3.0,7.7,39.3,0.6,2.4,22.9,3.3,4.1,79.3,4.6,1.5,1.1,0.1,1.4,2014
Erlana Larkins,F,33,31.6,9.7,3.8,6.3,59.9,0.0,0.0,0.0,2.2,3.1,71.6,9.2,2.5,1.9,0.8,2.2,2014
Jessica Breland,F,32,26.5,9.7,4.2,9.2,46.1,0.0,0.1,0.0,1.3,1.7,75.9,6.8,1.9,0.9,1.8,2.2,2014
Bria Hartley,G,34,27.1,9.7,3.4,9.0,38.0,1.0,3.0,32.7,1.9,2.4,78.0,2.1,3.1,0.7,0.1,2.5,2014
Kelsey Bone,C,34,23.3,9.3,4.0,8.9,45.1,0.0,0.1,0.0,1.3,1.9,66.2,5.3,1.4,0.6,0.5,2.0,2014
Courtney Paris,C,34,27.6,9.2,4.1,7.1,57.4,0.0,0.0,0.0,1.0,2.1,49.3,10.2,1.1,0.8,1.1,1.1,2014
Kia Vaughn,C,33,24.1,9.0,4.1,8.9,45.8,0.0,0.1,0.0,0.8,1.2,63.4,6.3,1.2,0.9,0.5,1.4,2014
Marissa Coleman,G,34,24.0,8.9,3.1,8.0,39.1,1.3,3.3,38.1,1.4,1.8,81.7,3.3,1.1,0.8,0.3,1.2,2014
Alana Beard,G,33,27.7,8.5,3.6,7.8,46.3,0.2,0.8,28.6,1.1,1.4,74.5,2.6,2.5,1.1,0.5,1.8,2014
Shoni Schimmel,G,34,21.3,8.3,3.1,8.2,37.4,1.6,4.6,34.2,0.6,0.7,84.0,2.2,3.6,0.8,0.1,2.4,2014
Becky Hammon,G,32,24.5,8.3,2.8,6.8,41.7,1.5,3.7,39.8,1.1,1.1,100.0,1.4,4.2,0.4,0.1,1.7,2014
