team_slug,season_year,season_type,url,status,rows,message
min,2026,2,https://www.espn.com/nba/team/stats/_/name/min/season/2026/seasontype/2,success,16,Saved to MIN_2025-2026_players.csv
no,2026,2,https://www.espn.com/nba/team/stats/_/name/no/season/2026/seasontype/2,success,18,Saved to NO_2025-2026_players.csv
ny,2026,2,https://www.espn.com/nba/team/stats/_/name/ny/season/2026/seasontype/2,success,19,Saved to NY_2025-2026_players.csv
okc,2026,2,https://www.espn.com/nba/team/stats/_/name/okc/season/2026/seasontype/2,success,17,Saved to OKC_2025-2026_players.csv
orl,2026,2,https://www.espn.com/nba/team/stats/_/name/orl/season/2026/seasontype/2,success,17,Saved to ORL_2025-2026_players.csv
phi,2026,2,https://www.espn.com/nba/team/stats/_/name/phi/season/2026/seasontype/2,success,18,Saved to PHI_2025-2026_players.csv
phx,2026,2,https://www.espn.com/nba/team/stats/_/name/phx/season/2026/seasontype/2,success,18,Saved to PHX_2025-2026_players.csv
por,2026,2,https://www.espn.com/nba/team/stats/_/name/por/season/2026/seasontype/2,success,18,Saved to POR_2025-2026_players.csv
sac,2026,2,https://www.espn.com/nba/team/stats/_/name/sac/season/2026/seasontype/2,success,21,Saved to SAC_2025-2026_players.csv
sa,2026,2,https://www.espn.com/nba/team/stats/_/name/sa/season/2026/seasontype/2,success,20,Saved to SA_2025-2026_players.csv
tor,2026,2,https://www.espn.com/nba/team/stats/_/name/tor/season/2026/seasontype/2,success,19,Saved to TOR_2025-2026_players.csv
utah,2026,2,https://www.espn.com/nba/team/stats/_/name/utah/season/2026/seasontype/2,success,17,Saved to UTAH_2025-2026_players.csv
wsh,2026,2,https://www.espn.com/nba/team/stats/_/name/wsh/season/2026/seasontype/2,success,20,Saved to WSH_2025-2026_players.csv
