Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Tyler Herro G,77,77.0,35.4,23.9,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,2.1,8.5,17.9,47.2,3.3,8.7,37.5,3.7,4.2,87.8,5.2,9.2,56.5,1.335,0.56
Andrew Wiggins F *,17,17.0,32.1,19.0,1.4,2.9,4.2,3.3,1.2,1.0,2.5,1.8,1.3,6.8,14.8,45.8,2.1,5.9,36.0,3.4,4.6,73.1,4.6,8.9,52.3,1.287,0.53
Bam Adebayo C,78,78.0,34.3,18.1,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,2.1,6.9,14.3,48.5,1.0,2.8,35.7,3.2,4.2,76.5,5.9,11.4,51.7,1.267,0.52
Jimmy Butler III F *,25,25.0,30.6,17.0,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,4.0,5.7,10.5,54.0,0.5,1.4,36.1,5.2,6.4,80.1,5.2,9.1,56.8,1.62,0.56
Duncan Robinson F,74,37.0,24.1,11.0,0.2,2.0,2.3,2.4,0.5,0.1,1.2,1.8,2.0,3.9,9.0,43.7,2.6,6.5,39.3,0.6,0.7,88.7,1.4,2.4,55.6,1.232,0.58
Nikola Jovic F,46,10.0,25.1,10.7,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,2.2,3.7,8.2,45.6,1.7,4.6,37.1,1.6,1.9,82.8,2.0,3.6,56.3,1.31,0.56
Terry Rozier G,64,23.0,25.9,10.6,0.7,3.0,3.7,2.6,0.6,0.2,1.2,1.1,2.1,3.9,9.9,39.1,1.4,4.8,29.5,1.4,1.7,85.2,2.5,5.1,48.0,1.069,0.46
Davion Mitchell G *,30,15.0,31.6,10.3,0.6,2.1,2.7,5.3,1.4,0.3,1.7,2.3,3.2,3.9,7.7,50.4,1.4,3.1,44.7,1.1,1.6,70.2,2.5,4.6,54.3,1.332,0.59
Kel'el Ware C,64,36.0,22.2,9.3,1.8,5.6,7.4,0.9,0.6,1.1,0.9,1.7,1.1,4.0,7.3,55.4,0.5,1.7,31.5,0.7,1.0,68.7,3.5,5.5,62.9,1.282,0.59
Jaime Jaquez Jr. F,66,17.0,20.7,8.6,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,1.7,3.2,7.0,46.1,0.6,1.8,31.1,1.6,2.2,75.4,2.7,5.2,51.3,1.234,0.5
Alec Burks SG,49,14.0,17.6,7.3,0.3,2.2,2.5,1.1,0.6,0.1,0.6,0.8,1.9,2.3,5.5,42.4,1.8,4.2,42.5,0.8,1.0,77.6,0.6,1.3,42.2,1.314,0.59
Kyle Anderson F *,25,1.0,18.4,6.7,1.0,2.8,3.8,2.6,0.6,0.5,0.7,1.6,3.8,2.6,5.4,49.3,0.2,0.7,33.3,1.2,1.5,78.9,2.4,4.6,51.7,1.254,0.51
Haywood Highsmith F,74,42.0,24.6,6.5,1.0,2.4,3.4,1.5,0.9,0.5,0.7,2.2,2.1,2.4,5.3,45.8,1.2,3.1,38.2,0.4,0.6,72.1,1.2,2.1,57.0,1.223,0.57
Dru Smith G,14,1.0,19.1,6.2,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,1.4,2.2,4.4,50.8,1.1,2.1,53.3,0.6,0.9,75.0,1.1,2.2,48.4,1.426,0.64
Kevin Love F,23,9.0,10.9,5.3,1.0,3.1,4.1,1.0,0.7,0.2,0.6,0.9,1.6,1.8,5.0,35.7,1.0,2.9,35.8,0.7,1.0,69.6,0.7,2.1,35.4,1.061,0.46
Pelle Larsson G,55,8.0,14.2,4.6,0.5,1.2,1.7,1.2,0.6,0.1,0.4,1.7,2.7,1.6,3.7,43.8,0.6,1.7,33.7,0.7,1.1,67.2,1.0,2.0,52.8,1.236,0.52
Thomas Bryant C *,10,0.0,11.5,4.1,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,2.0,1.2,2.8,42.9,0.6,1.7,35.3,1.1,1.1,100.0,0.6,1.1,54.5,1.464,0.54
Josh Richardson SG,8,0.0,18.6,4.0,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,1.5,1.4,4.8,28.9,0.8,2.8,27.3,0.5,0.5,100.0,0.6,2.0,31.3,0.842,0.37
Keshad Johnson F,16,0.0,6.1,2.7,0.4,1.4,1.8,0.3,0.3,0.3,0.3,0.7,1.0,1.1,1.6,69.2,0.2,0.4,42.9,0.3,0.6,44.4,0.9,1.2,78.9,1.654,0.75
Josh Christopher SG,14,0.0,4.9,2.0,0.0,0.6,0.6,0.6,0.4,0.2,0.4,0.1,1.3,0.8,2.2,35.5,0.1,0.8,18.2,0.3,0.4,66.7,0.6,1.4,45.0,0.903,0.39
Isaiah Stevens G,3,0.0,2.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Total,82,,,110.6,9.7,33.7,43.4,26.4,8.1,3.8,12.6,15.5,2.1,40.5,87.0,46.5,13.7,37.3,36.7,16.0,20.2,79.1,26.8,49.7,53.8,1.271,0.54
