Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
James Harden G,79,79.0,35.3,22.8,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,2.0,6.7,16.4,41.0,3.0,8.5,35.2,6.4,7.3,87.4,3.7,7.9,47.2,1.392,0.5
Norman Powell G,60,60.0,32.6,21.8,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,1.2,7.6,15.8,48.4,3.0,7.1,41.8,3.6,4.4,80.4,4.6,8.6,53.8,1.382,0.58
Kawhi Leonard F,37,37.0,31.9,21.5,0.9,5.0,5.9,3.1,1.6,0.5,1.9,1.5,1.6,8.4,16.8,49.8,2.1,5.1,41.1,2.6,3.3,81.0,6.3,11.7,53.6,1.278,0.56
Ivica Zubac C,80,80.0,32.8,16.8,3.8,8.9,12.6,2.7,0.7,1.1,1.6,2.1,1.7,7.4,11.8,62.8,0.0,0.0,0.0,2.0,3.0,66.1,7.4,11.8,62.8,1.423,0.63
Bogdan Bogdanovic G *,30,4.0,25.0,11.4,0.4,2.7,3.1,3.2,0.7,0.2,1.2,2.3,2.6,4.2,8.9,47.4,2.0,4.8,42.7,0.9,1.1,87.5,2.2,4.2,52.8,1.28,0.59
Derrick Jones Jr. F,77,55.0,24.3,10.1,1.2,2.2,3.4,0.8,1.0,0.4,0.9,2.0,0.9,4.0,7.6,52.6,1.0,2.8,35.6,1.1,1.5,70.3,3.0,4.8,62.7,1.326,0.59
Amir Coffey G,72,13.0,24.3,9.7,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,1.7,3.3,7.1,47.1,1.4,3.4,40.9,1.6,1.8,89.1,1.9,3.7,52.9,1.365,0.57
Kevin Porter Jr. G *,45,2.0,19.6,9.3,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,1.7,3.8,9.0,42.3,0.6,2.4,24.5,1.1,1.7,64.5,3.2,6.7,48.5,1.029,0.45
Bones Hyland G *,20,0.0,11.1,7.2,0.3,1.0,1.2,1.4,0.9,0.2,1.2,1.3,1.2,2.3,5.8,39.1,1.6,4.0,38.8,1.2,1.3,88.5,0.7,1.8,40.0,1.252,0.53
Kris Dunn G,74,58.0,24.1,6.4,0.7,2.7,3.4,2.8,1.7,0.4,1.0,2.7,2.8,2.6,5.9,43.9,1.0,3.0,33.5,0.2,0.3,68.2,1.6,2.9,54.9,1.085,0.53
Terance Mann G *,37,12.0,19.8,6.0,0.9,2.0,2.9,1.6,0.8,0.3,0.7,1.8,2.4,2.4,5.3,44.6,0.7,2.0,34.7,0.6,0.9,71.9,1.6,3.2,50.8,1.144,0.51
Mo Bamba C *,28,2.0,12.6,4.6,0.9,3.4,4.3,0.6,0.3,1.0,0.7,1.8,0.8,1.7,3.7,46.6,0.5,1.8,30.0,0.6,0.9,68.0,1.2,1.9,62.3,1.243,0.54
