Name,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Zach LaVine G *,42,42.0,34.1,24.0,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,1.6,8.6,16.9,51.1,3.2,7.3,44.6,3.5,4.3,79.7,5.4,9.6,56.0,1.418,0.61
Coby White G,74,73.0,33.1,20.4,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,1.9,6.9,15.1,45.3,2.9,7.9,37.0,3.7,4.1,90.2,3.9,7.3,54.4,1.346,0.55
Nikola Vucevic C,73,72.0,31.2,18.5,2.4,7.6,10.1,3.5,0.8,0.7,1.6,2.2,2.2,7.5,14.2,53.0,1.8,4.4,40.2,1.6,2.0,80.5,5.8,9.8,58.7,1.3,0.59
Josh Giddey G,70,69.0,30.2,14.6,1.8,6.3,8.1,7.2,1.2,0.6,2.9,1.7,2.5,5.3,11.4,46.5,1.5,4.0,37.8,2.5,3.2,78.1,3.8,7.4,51.2,1.281,0.53
Kevin Huerter G *,26,16.0,30.0,13.2,0.4,2.8,3.3,3.2,1.2,0.3,1.2,2.0,2.7,5.0,11.3,43.9,2.7,7.2,37.6,0.6,0.8,71.4,2.3,4.2,54.6,1.167,0.56
Ayo Dosunmu G,46,26.0,30.3,12.3,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,3.0,4.8,9.8,49.2,1.3,4.1,32.8,1.3,1.7,78.5,3.5,5.7,61.2,1.261,0.56
Tre Jones G *,18,9.0,25.3,11.5,0.9,2.3,3.2,4.9,1.1,0.3,0.8,1.2,6.3,4.6,8.1,57.2,0.6,1.2,50.0,1.7,1.9,88.2,4.0,6.8,58.5,1.428,0.61
Patrick Williams F,63,36.0,25.0,9.0,0.7,3.1,3.8,2.0,0.8,0.5,1.4,1.4,1.4,3.3,8.2,39.7,1.5,4.3,35.3,1.0,1.3,72.3,1.7,3.9,44.7,1.097,0.49
Matas Buzelis F,80,31.0,18.9,8.6,0.7,2.8,3.5,1.0,0.4,0.9,0.9,1.6,1.1,3.2,6.9,45.4,1.2,3.3,36.1,1.1,1.4,81.5,2.0,3.6,54.0,1.24,0.54
Zach Collins F *,28,8.0,19.7,8.6,2.3,4.4,6.7,2.1,0.5,0.5,1.3,2.2,1.6,3.3,6.1,54.1,0.6,2.1,30.0,1.4,1.5,88.4,2.6,3.9,67.3,1.412,0.59
Jalen Smith F,64,2.0,15.0,8.2,1.4,4.2,5.6,1.0,0.3,0.7,0.6,1.5,1.8,3.0,6.4,46.6,1.1,3.5,32.4,1.1,1.4,80.9,1.8,2.9,63.4,1.284,0.55
Lonzo Ball G,35,14.0,22.2,7.6,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,2.8,2.5,6.9,36.6,1.9,5.6,34.4,0.6,0.8,81.5,0.6,1.4,45.8,1.099,0.5
Torrey Craig SF *,9,1.0,12.6,6.9,0.9,1.9,2.8,0.6,0.2,0.1,0.0,1.7,inf,2.4,5.0,48.9,1.7,3.9,42.9,0.3,0.4,75.0,0.8,1.1,70.0,1.378,0.66
Talen Horton-Tucker SF,58,0.0,12.5,6.5,0.3,1.4,1.7,1.4,0.4,0.2,0.7,1.0,2.1,2.3,5.0,45.7,0.7,2.1,33.6,1.2,1.7,73.5,1.6,2.9,54.4,1.302,0.53
Julian Phillips F,79,5.0,14.2,4.6,0.8,1.3,2.1,0.5,0.5,0.3,0.3,1.4,1.4,1.6,3.6,44.6,0.6,1.9,32.7,0.8,1.0,78.9,1.0,1.7,58.2,1.275,0.53
Dalen Terry F,73,5.0,13.5,4.5,0.5,1.2,1.7,1.3,0.6,0.2,0.7,1.6,1.8,1.6,3.7,44.8,0.5,1.4,35.6,0.7,0.9,71.0,1.1,2.2,50.6,1.216,0.52
Jevon Carter G,36,1.0,8.9,4.3,0.1,1.0,1.1,1.1,0.4,0.1,0.3,0.4,3.6,1.5,4.1,37.7,1.0,2.9,33.3,0.2,0.3,80.0,0.6,1.1,48.8,1.048,0.5
Chris Duarte SG,17,0.0,4.4,2.1,0.3,0.9,1.2,0.5,0.0,0.0,0.1,0.4,9.0,0.7,1.5,46.2,0.4,0.9,40.0,0.4,0.5,75.0,0.4,0.6,54.5,1.385,0.58
Adama Sanogo C,4,0.0,5.3,2.0,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,1.0,1.0,1.8,57.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,57.1,1.143,0.57
Jahmir Young G,6,0.0,5.0,1.8,0.2,0.3,0.5,1.0,0.0,0.0,0.2,0.3,6.0,0.7,0.8,80.0,0.2,0.3,50.0,0.3,0.3,100.0,0.5,0.5,100.0,2.2,0.9
E.J. Liddell F,12,0.0,4.4,1.8,0.3,0.5,0.8,0.3,0.1,0.1,0.2,0.9,1.5,0.7,1.3,53.3,0.3,0.8,30.0,0.2,0.2,100.0,0.4,0.4,100.0,1.4,0.63
Emanuel Miller F,6,0.0,4.2,1.7,0.7,0.7,1.3,0.3,0.2,0.0,0.0,0.5,inf,0.7,1.3,50.0,0.0,0.2,0.0,0.3,0.3,100.0,0.7,1.2,57.1,1.25,0.5
Total,82,,,117.8,10.1,35.8,45.9,29.1,7.6,4.7,13.9,17.6,2.1,43.2,92.0,47.0,15.4,42.0,36.7,16.0,19.7,80.9,27.8,50.0,55.6,1.28,0.55
