Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Brittney Griner,C,31,32.8,20.7,8.7,15.5,56.4,0.0,0.1,33.3,3.3,4.0,80.8,7.2,2.4,0.7,2.0,2.5,2019
Elena Delle Donne,F,31,29.1,19.5,7.1,13.8,51.5,1.7,3.9,43.0,3.7,3.8,97.4,8.3,2.2,0.6,1.3,1.0,2019
Arike Ogunbowale,G,33,32.1,19.1,6.5,16.7,38.8,1.7,4.9,35.2,4.4,5.4,81.5,2.4,3.2,1.1,0.0,2.1,2019
Natasha Howard,F,34,31.4,18.1,6.7,15.2,43.9,0.9,3.1,30.8,3.8,4.6,81.0,8.2,2.1,2.2,1.7,2.9,2019
DeWanna Bonner,F,34,32.9,17.2,5.6,14.8,37.7,1.5,5.6,27.2,4.5,4.9,91.6,7.6,2.7,1.3,0.6,1.6,2019
Tina Charles,C,33,31.2,16.9,6.7,17.2,38.9,0.3,1.8,18.6,3.3,4.0,81.2,7.5,2.4,0.7,0.9,2.6,2019
A'ja Wilson,C,26,28.5,16.5,6.1,12.7,47.9,0.0,0.0,0.0,4.4,5.5,79.2,6.4,1.8,0.5,1.7,2.2,2019
Diamond DeShields,G,34,30.2,16.2,5.6,14.1,39.9,1.5,4.6,31.6,3.4,4.1,83.6,5.5,2.4,1.3,0.4,2.2,2019
Nneka Ogwumike,F,32,27.9,16.1,6.5,12.7,51.0,0.7,2.1,33.8,2.4,2.9,82.8,8.8,1.8,1.9,0.5,1.8,2019
Liz Cambage,C,32,25.2,15.9,6.1,12.2,50.4,0.1,0.4,16.7,3.6,4.8,74.8,8.2,2.1,0.6,1.6,2.3,2019
Tiffany Hayes,G,29,28.2,14.7,5.1,12.9,39.3,1.2,4.0,30.8,3.3,4.4,76.4,3.0,2.8,1.0,0.3,2.4,2019
Jonquel Jones,F,34,28.8,14.6,5.1,11.4,44.8,1.3,4.1,30.9,3.2,3.9,81.8,9.7,1.5,1.3,2.0,1.9,2019
Odyssey Sims,G,34,31.9,14.5,5.6,13.4,41.5,0.7,2.7,26.9,2.6,3.3,79.5,3.4,5.4,1.4,0.1,3.3,2019
Chelsea Gray,G,34,32.6,14.5,5.5,13.3,41.6,1.5,3.9,38.2,1.9,2.1,91.7,3.8,5.9,1.0,0.1,3.2,2019
