Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Chicago Sky,34,86.2,33.3,72.0,46.2,4.1,11.0,36.8,15.6,18.8,83.1,10.2,25.5,35.6,18.2,6.9,5.1,11.5,19.7
Minnesota Lynx,34,85.8,32.2,68.4,47.1,4.0,11.9,33.7,17.4,21.5,80.6,9.6,26.2,35.8,20.0,8.2,4.6,12.6,19.0
Phoenix Mercury,34,84.6,29.4,65.0,45.2,6.1,18.0,34.2,19.7,23.4,83.9,7.5,24.9,32.4,16.9,7.2,5.3,13.3,20.6
Los Angeles Sparks,34,83.0,31.2,64.1,48.7,5.9,15.7,37.5,14.7,18.6,79.1,6.7,24.8,31.5,20.4,8.0,3.8,12.4,16.4
Connecticut Sun,34,83.0,31.5,71.7,43.9,5.6,18.3,30.8,14.4,20.1,71.5,10.8,23.3,34.1,16.7,8.4,3.4,13.4,21.4
Dallas Wings,34,82.6,28.1,70.2,40.0,7.0,21.8,32.2,19.4,24.2,80.4,11.0,23.1,34.1,15.3,6.5,3.5,12.9,20.6
Atlanta Dream,34,81.8,29.0,68.6,42.2,3.7,13.0,28.7,20.1,26.7,75.1,10.9,25.5,36.5,15.0,7.2,5.0,13.1,20.0
New York Liberty,34,81.6,30.1,69.3,43.4,4.5,12.4,36.3,17.0,21.9,77.7,10.6,27.9,38.6,18.7,7.1,4.7,13.8,20.1
Seattle Storm,34,80.8,28.9,63.2,45.7,7.2,20.2,35.5,15.8,19.0,83.3,6.8,24.5,31.3,18.9,6.3,3.6,13.4,17.3
Washington Mystics,34,80.7,28.1,66.4,42.3,7.1,19.7,35.8,17.5,21.9,80.0,8.2,24.5,32.7,17.4,6.3,3.2,11.8,19.7
Indiana Fever,34,80.5,29.2,65.4,44.7,5.1,15.9,32.1,16.9,20.0,84.5,8.5,22.4,30.9,17.7,8.8,2.4,13.6,20.8
San Antonio Stars,34,72.0,26.6,65.6,40.5,4.5,14.9,29.9,14.4,18.1,79.8,8.4,23.5,31.9,16.2,7.1,3.8,12.4,20.1
