Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Elena Delle Donne,F,31,33.3,23.4,7.7,16.7,46.0,1.4,4.3,31.3,6.7,7.0,95.0,8.4,1.4,1.1,2.1,1.2,2015
Maya Moore,F,33,33.4,20.6,7.2,17.2,42.0,2.1,5.8,35.9,4.1,4.8,85.5,6.7,3.5,1.6,0.8,2.3,2015
Angel McCoughtry,F,34,30.0,20.1,6.9,16.7,41.3,1.1,3.0,36.3,5.2,6.5,80.5,5.3,2.8,2.1,0.5,3.1,2015
Tina Charles,C,34,31.0,17.1,7.1,15.6,45.8,0.0,0.1,20.0,2.7,3.8,71.5,8.5,2.4,0.7,0.7,2.4,2015
Nneka Ogwumike,F,23,34.1,16.5,6.4,12.2,52.5,0.0,0.5,8.3,3.7,4.2,86.6,7.3,2.1,1.1,0.5,1.9,2015
Odyssey Sims,G,23,31.4,16.0,5.0,13.4,36.9,0.8,3.8,20.7,5.3,6.3,84.7,3.4,3.8,1.1,0.0,2.8,2015
DeWanna Bonner,F,33,33.3,15.8,4.8,12.7,37.8,0.9,3.6,25.4,5.3,6.1,86.6,5.7,3.3,1.3,0.8,1.8,2015
Riquna Williams,G,29,28.0,15.6,4.5,12.7,35.2,1.9,5.6,34.6,4.7,5.5,85.0,3.4,2.6,1.5,0.5,1.6,2015
Kelsey Bone,C,33,29.1,15.4,6.8,13.4,50.8,0.0,0.1,0.0,1.8,3.0,62.2,6.3,2.0,0.8,0.6,2.3,2015
Brittney Griner,C,26,30.7,15.1,5.7,10.0,56.5,0.0,0.0,0.0,3.8,4.9,77.3,8.1,1.3,0.3,4.0,2.2,2015
Epiphanny Prince,G,24,28.6,15.0,5.7,12.1,46.7,1.1,3.0,35.6,2.6,2.9,90.0,2.9,3.4,2.0,0.2,1.6,2015
Cappie Pondexter,G,29,30.2,15.0,5.6,12.8,43.9,0.8,2.2,38.1,2.9,3.5,82.4,3.8,2.1,1.0,0.2,1.4,2015
Alex Bentley,G,25,30.0,14.7,5.7,13.9,40.9,1.6,4.6,33.6,1.8,2.1,83.0,2.0,2.0,2.0,0.2,1.2,2015
Jantel Lavender,F,34,33.8,14.5,6.2,11.8,52.5,0.1,0.3,33.3,2.0,2.2,88.2,8.3,1.8,0.4,1.2,2.1,2015
Candice Dupree,F,33,31.2,14.1,5.8,11.4,51.2,0.0,0.0,0.0,2.5,3.1,80.2,5.1,1.7,1.0,0.4,1.5,2015
Kayla McBride,G,27,28.0,13.8,4.9,12.7,38.2,2.0,5.3,37.3,2.1,2.4,87.9,3.1,1.6,1.1,0.1,1.7,2015
Ivory Latta,G,34,27.3,13.4,4.2,10.4,40.6,2.3,6.0,38.9,2.6,2.9,90.9,1.8,2.6,0.7,0.0,1.7,2015
Jia Perkins,G,26,27.3,13.3,4.8,12.7,37.6,1.0,3.5,27.2,2.8,3.2,88.0,3.0,1.7,1.5,0.3,1.2,2015
Tamika Catchings,F,30,26.6,13.1,4.2,10.9,38.2,0.6,2.0,29.5,4.2,4.8,86.8,7.1,2.2,1.8,0.8,1.7,2015
Tiffany Hayes,G,28,29.9,12.9,4.1,10.5,39.2,1.1,4.0,27.4,3.5,4.4,80.5,3.0,2.2,1.0,0.4,1.7,2015
Plenette Pierson,F,30,28.1,12.8,5.1,11.6,43.7,0.6,1.6,36.2,2.1,2.6,80.8,4.1,1.9,1.0,0.4,1.8,2015
Kristi Toliver,G,28,30.9,12.4,4.3,9.5,44.9,1.5,4.0,38.4,2.3,2.6,90.3,2.3,3.7,0.8,0.0,2.3,2015
Emma Meesseman,F,34,27.2,11.6,5.2,9.4,55.6,0.2,0.4,46.2,1.0,1.2,82.9,6.3,1.7,0.9,1.4,1.3,2015
Sophia Young-Malcolm,F,34,27.4,11.5,4.4,9.7,45.8,0.0,0.1,0.0,2.6,3.6,73.8,5.0,1.4,1.2,0.3,1.6,2015
Courtney Vandersloot,G,34,29.9,11.4,4.3,9.3,46.3,0.9,2.6,35.6,1.9,2.1,90.1,3.4,5.8,1.3,0.5,2.1,2015
Crystal Langhorne,F,34,25.7,11.1,4.6,8.4,54.5,0.0,0.1,0.0,1.9,2.6,75.0,5.7,0.9,1.1,0.4,2.1,2015
Allie Quigley,G,32,22.5,11.1,4.4,10.2,43.1,1.1,3.3,34.0,1.2,1.4,82.6,1.8,1.7,0.4,0.5,1.4,2015
Shenise Johnson,G,31,26.2,10.9,3.9,8.4,46.7,1.0,2.4,41.3,2.1,2.6,80.5,4.9,2.4,1.1,0.2,1.8,2015
Lindsay Whalen,G,29,30.1,10.9,4.2,9.0,46.2,0.2,0.5,42.9,2.3,2.6,88.2,2.9,4.3,0.4,0.1,2.1,2015
Jewell Loyd,G,34,25.9,10.7,3.7,8.9,41.1,0.3,1.4,20.8,3.1,3.4,90.4,3.5,1.9,0.6,0.2,2.0,2015
Stefanie Dolson,C,34,24.7,10.6,4.4,8.8,49.5,0.3,0.6,47.6,1.6,1.8,87.1,5.6,1.6,0.5,1.1,1.9,2015
Karima Christmas-Kelly,F,32,28.7,10.6,3.2,8.0,39.6,1.0,2.6,38.6,3.3,4.2,78.2,5.0,1.7,1.1,0.3,1.2,2015
Marissa Coleman,G,34,24.8,10.4,3.7,9.7,38.4,1.2,3.7,33.6,1.7,2.3,74.7,3.5,1.6,1.2,0.3,1.9,2015
Sancho Lyttle,F,24,30.0,10.3,4.3,9.1,47.5,0.0,0.2,20.0,1.6,2.2,73.6,8.3,2.2,2.3,0.6,1.6,2015
Sue Bird,G,27,28.6,10.3,4.0,10.3,38.4,0.9,3.1,30.1,1.4,1.8,79.6,2.3,5.4,0.9,0.1,2.4,2015
Kara Lawson,G,22,25.0,9.6,3.2,8.2,38.9,1.2,3.7,32.1,2.0,2.2,93.8,3.0,3.6,0.5,0.1,1.1,2015
Danielle Robinson,G,30,30.1,9.2,3.5,9.0,39.0,0.0,0.2,0.0,2.2,2.4,90.3,2.5,5.0,0.7,0.1,2.6,2015
Alyssa Thomas,F,24,26.0,8.8,2.9,7.0,41.1,0.0,0.0,0.0,3.0,4.3,69.2,5.3,1.4,1.2,0.2,1.8,2015
Ana Dabovic,G,24,22.1,8.8,3.1,6.9,44.6,0.8,2.5,33.3,1.8,2.2,80.8,1.6,1.9,0.9,0.0,1.6,2015
Monique Currie,F,34,21.3,8.4,3.1,7.4,41.1,0.8,2.3,36.4,1.5,1.7,86.4,3.2,1.5,0.9,0.4,1.3,2015
Shavonte Zellous,G,23,22.2,8.4,2.7,7.0,37.9,0.3,1.3,24.1,2.8,3.6,77.1,2.4,1.9,1.0,0.3,1.2,2015
Lynetta Kizer,F,33,17.9,8.3,3.4,6.9,49.1,0.0,0.1,0.0,1.5,1.8,87.9,3.5,0.4,0.6,0.2,1.4,2015
Camille Little,F,34,27.0,8.2,3.1,7.7,40.6,1.1,3.3,34.5,0.9,1.0,87.9,3.6,1.6,1.2,0.2,1.7,2015
Ramu Tokashiki,F,30,20.6,8.2,3.3,7.9,41.5,0.0,0.1,0.0,1.7,1.9,86.2,3.3,0.8,0.2,0.9,0.9,2015
Jasmine Thomas,G,34,26.7,8.2,2.9,9.0,32.8,0.9,3.1,29.8,1.4,1.8,78.3,3.7,3.9,1.2,0.4,2.3,2015
Briann January,G,29,27.0,8.1,2.8,6.6,42.6,0.9,2.0,43.1,1.7,2.0,84.5,1.8,3.4,1.0,0.2,2.2,2015
Sugar Rodgers,G,33,18.7,8.1,2.5,7.5,34.0,1.2,3.9,32.0,1.8,2.0,88.1,2.2,1.5,0.7,0.2,1.0,2015
Anna Cruz,G,22,29.1,8.0,3.3,7.0,47.4,0.4,1.6,25.0,1.0,1.3,78.6,3.6,3.0,1.0,0.2,2.2,2015
Natalie Achonwa,F,28,17.3,8.0,3.1,5.7,55.0,0.0,0.0,0.0,1.7,2.3,74.6,3.5,0.6,0.5,0.5,1.3,2015
Rebekkah Brunson,F,34,27.9,7.8,3.1,6.8,45.7,0.0,0.1,25.0,1.6,1.9,83.1,8.1,1.8,1.1,0.8,1.6,2015
Shekinna Stricklen,F,34,17.6,7.7,2.8,6.8,41.1,1.5,4.2,35.9,0.6,0.8,78.6,1.9,0.6,0.6,0.2,0.6,2015
Shoni Schimmel,G,32,19.8,7.6,2.7,7.0,37.8,1.5,4.0,38.3,0.8,0.9,85.7,2.5,3.2,0.8,0.2,2.4,2015
Tayler Hill,G,32,17.0,7.5,2.5,7.1,34.8,1.2,3.6,31.9,1.4,1.9,72.6,1.3,0.9,0.9,0.1,0.9,2015
Tierra Ruffin-Pratt,G,32,23.9,7.4,2.5,6.7,37.1,0.4,1.3,32.6,2.1,2.7,75.9,3.0,2.2,0.8,0.3,1.3,2015
Danielle Adams,F,30,16.1,7.4,2.6,6.4,41.4,0.7,2.3,32.4,1.4,1.7,82.7,3.3,0.5,0.5,0.3,1.2,2015
Tanisha Wright,G,34,23.7,7.4,2.6,6.2,42.0,0.4,1.0,36.4,1.8,2.1,84.5,2.4,3.5,0.8,0.1,2.1,2015
Chelsea Gray,G,34,16.0,6.9,2.5,6.0,42.4,0.7,1.9,34.8,1.2,1.4,81.6,2.3,2.7,0.6,0.1,1.7,2015
Alysha Clark,F,33,23.1,6.9,2.6,4.8,54.4,0.7,2.1,35.3,0.9,1.2,77.5,3.7,1.2,0.7,0.2,1.1,2015
Jessica Breland,F,33,21.4,6.7,3.0,6.4,47.1,0.0,0.0,0.0,0.7,0.9,77.4,5.9,1.3,0.7,1.1,1.0,2015
Leilani Mitchell,G,34,23.0,6.7,2.4,6.3,37.4,1.3,3.3,39.6,0.7,0.8,88.9,2.1,2.7,1.0,0.1,1.4,2015
Layshia Clarendon,G,29,20.8,6.7,2.7,6.0,44.5,0.4,1.1,40.6,0.9,1.2,76.5,2.7,2.0,0.7,0.0,1.6,2015
Courtney Paris,C,34,25.0,6.6,3.1,6.3,48.6,0.0,0.0,0.0,0.5,1.2,42.5,9.3,1.3,0.4,1.2,1.0,2015
Brittany Boyd-Jones,G,30,14.3,6.6,2.0,5.0,39.1,0.3,1.0,26.7,2.4,3.4,71.3,2.7,2.3,1.2,0.1,1.6,2015
Roneeka Hodges,F,23,19.5,6.4,2.2,5.7,38.2,1.2,3.3,36.0,0.9,1.2,75.0,2.0,1.3,0.2,0.2,1.0,2015
Essence Carson,F,33,19.5,6.1,2.4,6.2,38.0,0.4,1.5,24.5,1.0,1.3,77.3,2.3,1.3,0.4,0.2,1.0,2015
Dearica Hamby,F,31,17.4,6.1,2.3,6.4,35.4,0.2,0.5,35.3,1.4,2.2,64.2,4.1,0.7,0.4,0.2,1.3,2015
Matee Ajavon,G,33,17.6,5.9,2.0,4.9,40.5,0.1,0.5,16.7,1.8,2.2,82.2,2.5,2.4,1.4,0.2,1.8,2015
Jenna O'Hea,G,34,20.9,5.9,1.9,4.9,38.1,1.1,2.8,38.3,1.1,1.1,92.3,1.9,2.4,0.6,0.3,1.2,2015
Kiah Stokes,C,34,25.4,5.8,2.4,4.4,54.7,0.0,0.1,0.0,1.0,1.4,68.8,6.4,0.8,0.7,2.0,1.1,2015
Kaleena Mosqueda-Lewis,F,27,12.3,5.8,2.3,5.9,39.0,0.7,2.4,28.1,0.5,0.6,87.5,0.9,0.6,0.2,0.1,0.8,2015
Maggie Lucas,G,30,15.0,5.7,1.8,4.8,37.2,1.0,2.8,37.3,1.0,1.2,83.8,0.8,0.9,0.4,0.1,0.6,2015
Asjha Jones,F,31,17.5,5.5,2.5,6.0,41.1,0.0,0.1,0.0,0.6,1.0,60.0,2.8,1.6,0.5,0.5,1.2,2015
Vicki Baugh,F,34,15.7,5.4,2.0,4.3,47.3,0.0,0.0,0.0,1.3,1.8,73.8,4.1,0.6,0.5,0.4,1.3,2015
Markeisha Gatling,F,25,13.7,5.3,2.0,4.0,49.5,0.0,0.0,0.0,1.3,1.5,86.8,3.7,0.3,0.4,0.6,1.0,2015
Clarissa dos Santos,C,31,17.5,5.3,2.1,4.5,46.1,0.0,0.0,0.0,1.1,1.5,68.8,4.6,0.7,0.6,0.6,1.2,2015
Abby Bishop,F,26,19.6,5.2,2.0,5.2,38.5,0.9,2.7,32.9,0.3,0.5,61.5,3.5,1.0,0.7,0.8,1.1,2015
Aneika Henry-Morello,F,29,17.9,5.2,2.2,4.5,48.5,0.0,0.0,0.0,0.8,1.1,75.0,4.7,0.4,0.3,0.9,1.6,2015
Temeka Johnson,G,34,21.2,5.1,1.8,5.5,32.3,0.5,2.0,24.6,1.1,1.3,84.1,2.4,3.6,0.7,0.0,1.5,2015
Carolyn Swords,C,34,15.0,5.1,2.0,3.9,50.8,0.0,0.0,0.0,1.1,1.4,80.9,4.0,0.6,0.5,0.6,1.1,2015
Brianna Kiesel,G,34,18.1,5.1,1.8,5.3,33.3,0.4,1.5,23.1,1.2,1.6,75.5,0.8,1.9,0.8,0.1,1.2,2015
LaToya Sanders,F,23,18.1,5.0,2.0,4.9,40.2,0.0,0.0,0.0,1.1,1.5,76.5,5.7,0.9,0.9,2.1,0.8,2015
Cayla George,F,34,12.7,5.0,2.0,4.6,42.7,0.5,1.8,28.3,0.6,0.6,86.4,3.1,0.7,0.4,0.6,0.8,2015
Marianna Tolo,C,28,19.0,4.9,1.9,4.2,46.2,0.0,0.3,0.0,1.0,1.3,80.6,3.0,1.0,0.3,1.0,1.0,2015
Jordan Hooper,F,34,17.1,4.7,1.6,4.4,35.8,1.1,3.3,34.2,0.4,0.6,68.4,2.1,0.3,0.4,0.1,0.5,2015
Swin Cash,F,34,17.4,4.5,1.6,4.1,37.6,0.2,1.0,23.5,1.2,1.6,72.7,2.4,1.4,0.3,0.1,1.1,2015
