Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Diana Taurasi,G,31,31.5,20.4,6.5,14.0,46.1,2.5,6.3,40.7,4.9,5.5,89.4,5.7,3.5,1.2,1.4,2.6,2009
Becky Hammon,G,31,33.8,19.5,6.5,14.4,44.7,2.5,6.6,36.9,4.1,4.6,90.1,3.3,5.0,1.6,0.4,3.6,2009
Lauren Jackson,F,26,32.4,19.2,6.5,14.0,46.3,1.9,4.4,43.0,4.4,5.5,79.7,7.0,0.8,1.5,1.7,1.7,2009
Cappie Pondexter,G,34,31.6,19.1,6.9,15.1,46.0,1.3,3.5,35.8,3.9,4.4,88.1,4.2,5.0,0.9,0.4,2.5,2009
Sophia Young-Malcolm,F,33,33.7,18.2,6.6,14.6,45.4,0.5,1.7,30.9,4.4,5.7,76.7,6.5,1.6,1.3,0.5,1.9,2009
Katie Douglas,G,31,32.4,17.6,6.1,14.8,41.0,2.1,6.1,34.9,3.4,3.9,86.1,3.9,2.7,1.8,0.2,2.4,2009
Deanna Nolan,G,33,33.7,16.9,6.5,15.9,40.8,1.2,3.7,32.5,2.8,3.5,78.4,4.3,3.5,1.3,0.3,2.2,2009
Shameka Christon,F,32,31.7,16.1,4.8,12.0,40.2,2.4,6.4,38.2,4.0,4.6,86.5,4.9,1.8,0.9,0.8,1.8,2009
Alana Beard,G,31,31.8,15.9,6.1,14.1,42.9,1.0,3.5,29.9,2.7,3.7,73.7,4.0,2.2,2.3,0.6,3.2,2009
Candice Dupree,F,34,34.9,15.7,6.0,14.0,42.9,0.7,1.8,38.7,3.0,3.8,78.5,7.9,2.2,1.0,1.2,2.4,2009
Tamika Catchings,F,34,31.9,15.1,4.6,12.0,38.6,1.2,3.6,32.8,4.6,5.3,87.3,7.2,3.1,2.9,0.5,2.6,2009
Iziane Castro,G,34,26.9,14.4,5.4,13.1,41.3,1.4,4.2,34.5,2.1,2.7,78.0,2.2,2.0,1.1,0.1,2.4,2009
