Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Minnesota Lynx,34,82.9,32.6,68.9,47.4,3.9,10.6,36.5,13.8,17.5,79.0,9.8,27.1,36.9,20.5,7.7,4.8,11.7,16.5
Los Angeles Sparks,34,81.9,31.7,66.8,47.5,3.2,9.4,34.6,15.3,19.6,77.8,9.0,25.6,34.6,18.8,8.4,4.9,13.4,18.1
Phoenix Mercury,34,79.7,29.0,64.1,45.3,4.8,15.8,30.3,16.9,20.9,81.1,7.8,27.3,35.1,16.9,6.0,5.1,14.4,20.5
Chicago Sky,34,79.4,28.4,67.6,42.0,4.8,14.4,33.6,17.9,22.0,81.4,10.6,26.6,37.1,15.2,7.2,6.6,11.8,16.7
Tulsa Shock,34,77.0,26.9,66.2,40.5,6.7,20.0,33.4,16.6,21.1,78.6,10.3,22.5,32.8,15.1,8.0,3.7,14.1,18.1
Atlanta Dream,34,76.9,29.4,69.4,42.3,3.5,12.7,27.5,14.6,19.7,74.1,10.7,24.9,35.6,16.6,10.2,4.3,14.4,18.2
Washington Mystics,34,75.5,27.3,66.2,41.3,4.6,13.3,34.7,16.2,20.6,78.8,9.9,25.6,35.5,15.9,7.5,3.6,14.1,18.6
San Antonio Silver Stars,34,72.1,27.1,67.8,40.0,5.7,18.0,31.6,12.1,16.2,74.6,9.9,22.2,32.1,16.4,8.3,3.7,12.6,16.4
Connecticut Sun,34,71.0,27.5,68.9,40.0,4.1,13.8,30.1,11.8,16.0,73.8,10.2,23.6,33.9,13.8,7.6,3.8,13.2,16.6
Seattle Storm,34,70.9,25.1,59.7,42.1,5.8,17.4,33.2,14.8,18.1,82.0,8.0,22.3,30.3,13.8,6.0,2.5,14.4,17.7
Indiana Fever,34,70.8,25.5,64.8,39.3,5.5,16.3,33.7,14.4,18.4,78.1,10.6,21.4,32.0,13.6,9.6,3.5,11.9,18.0
New York Liberty,34,69.6,26.9,66.6,40.4,3.5,10.8,32.8,12.3,16.2,75.8,10.7,26.8,37.5,15.4,5.9,2.7,15.8,18.0
