Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Travis Hamonic,D,75,6,15,21,-5,71,18:33,0,1,136,4.4,1897,1,0,0,0.0,0,0,0.0
Marcus Foligno,LW,65,7,14,21,-6,97,14:59,0,3,83,8.4,1234,0,7,7,50.0,0,0,0.0
Casey Cizikas,C,81,6,15,21,0,54,14:32,0,0,111,5.4,1773,0,501,438,53.4,0,0,0.0
Colin Miller,D,79,6,15,21,23,37,16:46,1,0,106,5.7,1716,3,0,0,0.0,0,0,0.0
Nikita Zadorov,D,82,14,7,21,10,80,18:41,0,1,130,10.8,2274,2,0,0,0.0,0,0,0.0
Adam Pelech,D,61,6,15,21,15,36,21:39,0,0,97,6.2,1750,0,0,0,0.0,0,0,0.0
Jonas Siegenthaler,D,80,4,17,21,27,44,20:09,1,0,84,4.8,1979,1,0,0,0.0,0,0,0.0
Denis Malgin,C,65,13,8,21,4,8,10:55,0,1,112,11.6,952,1,4,6,40.0,1,0,0.0
P.O Joseph,D,75,5,16,21,8,44,15:14,1,2,108,4.6,1584,1,0,0,0.0,0,0,0.0
Klim Kostin,C,57,11,10,21,12,66,10:03,0,0,56,19.6,818,2,4,6,40.0,0,0,0.0
Jesper Boqvist,C,70,10,11,21,8,2,11:36,0,0,67,14.9,1131,2,66,133,33.2,1,0,0.0
Morgan Barron,C,70,8,13,21,4,31,13:15,0,1,112,7.1,1314,2,13,16,44.8,0,0,0.0
Will Borgen,D,82,3,17,20,11,47,16:21,0,0,76,3.9,1941,1,0,0,0.0,0,0,0.0
Ryan Lomberg,LW,82,12,8,20,-1,88,11:18,0,0,134,9.0,1286,1,15,15,50.0,0,0,0.0
Joe Veleno,C,81,9,11,20,-12,30,12:46,1,3,85,10.6,1322,1,276,375,42.4,0,0,0.0
Rafael Harvey-Pinard,LW,34,14,6,20,7,10,17:13,4,0,58,24.1,686,1,0,1,0.0,1,0,0.0
Adam Ruzicka,C,44,6,14,20,-1,8,11:34,2,4,64,9.4,731,2,83,91,47.7,1,0,0.0
Nick Perbix,D,69,5,15,20,11,22,15:23,0,0,111,4.5,1428,2,0,0,0.0,0,0,0.0
Cam York,D,54,2,18,20,-1,18,19:38,0,3,42,4.8,1308,0,0,0,0.0,0,0,0.0
Mikey Anderson,D,77,5,15,20,20,40,21:39,1,0,90,5.6,1711,1,0,0,0.0,0,0,0.0
Trevor Lewis,C,82,9,11,20,-7,18,12:07,1,0,144,6.3,1500,1,131,178,42.4,0,0,0.0
Ryan McDonagh,D,71,2,18,20,12,22,21:31,0,0,78,2.6,1771,1,0,0,0.0,0,0,0.0
David Savard,D,62,3,17,20,-14,40,22:23,0,0,63,4.8,1463,1,0,0,0.0,0,0,0.0
Sean Kuraly,C,71,11,9,20,-28,68,15:04,1,0,100,11.0,1422,0,567,575,49.7,0,0,0.0
Radek Faksa,C,81,11,9,20,9,39,13:43,0,0,88,12.5,1545,3,309,243,56.0,0,0,0.0
Rasmus Ristolainen,D,74,3,17,20,-4,32,19:01,1,4,86,3.5,1917,0,0,0,0.0,0,0,0.0
Brett Kulak,D,82,3,17,20,11,41,17:30,0,0,114,2.6,1820,0,0,0,0.0,0,0,0.0
Derek Ryan,C,80,13,7,20,11,28,11:09,0,0,92,14.1,1367,0,217,217,50.0,1,0,0.0
Andrew Cogliano,C,79,10,9,19,6,44,12:37,0,0,85,11.8,1599,0,33,37,47.1,0,0,0.0
Milan Lucic,LW,77,7,12,19,-13,43,11:18,0,0,73,9.6,1234,0,17,22,43.6,0,0,0.0
Nick Bonino,C,62,10,9,19,-5,28,15:54,0,1,91,11.0,1395,0,217,233,48.2,3,1,33.3
Matt Martin,LW,81,7,12,19,4,63,11:08,0,0,82,8.5,1323,1,9,18,33.3,0,0,0.0
Ben Chiarot,D,76,5,14,19,-31,51,20:36,0,0,110,4.5,1977,0,0,0,0.0,0,0,0.0
Nate Schmidt,D,71,7,12,19,15,8,18:28,3,2,101,6.9,1700,0,0,0,0.0,0,0,0.0
Hudson Fasching,RW,49,10,9,19,10,10,12:28,0,1,61,16.4,865,1,2,8,20.0,0,0,0.0
Tyler Motte,C,62,8,11,19,3,6,12:34,0,0,109,7.3,1077,1,21,30,41.2,0,0,0.0
Brock McGinn,LW,75,12,7,19,-6,21,13:02,0,0,91,13.2,1436,3,4,10,28.6,0,0,0.0
Steven Lorentz,C,80,10,9,19,-18,16,11:50,1,0,111,9.0,1370,0,263,285,48.0,0,0,0.0
Vladislav Gavrikov,D,72,6,13,19,4,38,21:58,0,0,89,6.7,1780,2,0,0,0.0,0,0,0.0
