Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Connor McDavid,C,80,44,79,123,28,45,22:03,10,34,314,14.0,1757,9,562,484,53.7,5,3,60.0
Jonathan Huberdeau,C,80,30,85,115,35,54,19:25,5,33,222,13.5,1839,7,18,36,33.3,6,1,16.7
Johnny Gaudreau,LW,82,40,75,115,64,26,18:34,6,19,262,15.3,1807,9,1,0,100.0,5,3,60.0
Leon Draisaitl,C,80,55,55,110,17,40,22:20,24,17,278,19.8,1827,11,887,774,53.4,6,1,16.7
Kirill Kaprizov,LW,81,47,61,108,27,34,19:06,14,17,289,16.3,1576,5,5,4,55.6,6,2,33.3
Auston Matthews,C,73,60,46,106,20,18,20:36,16,13,348,17.2,1669,10,691,538,56.2,4,2,50.0
Steven Stamkos,C,81,42,64,106,24,36,18:28,16,20,241,17.4,1788,11,545,523,51.0,6,4,66.7
Matthew Tkachuk,LW,82,42,62,104,57,68,17:53,12,17,253,16.6,1787,6,20,23,46.5,4,1,25.0
J.T. Miller,C,80,32,67,99,15,47,21:04,8,30,206,15.5,2069,6,668,565,54.2,7,3,42.9
Mitch Marner,RW,72,35,62,97,23,16,20:52,6,19,224,15.6,1744,5,10,8,55.6,1,0,0.0
Artemi Panarin,LW,75,22,74,96,21,18,19:13,5,32,177,12.4,1491,5,1,1,50.0,6,3,50.0
Roman Josi,D,80,23,73,96,13,46,25:33,11,26,281,8.2,2206,2,0,0,0.0,3,1,33.3
Kyle Connor,LW,79,47,46,93,-3,4,21:46,8,20,317,14.8,1892,9,1,6,14.3,5,1,20.0
Mikko Rantanen,RW,75,36,56,92,35,56,20:58,16,19,254,14.2,1808,2,164,189,46.5,6,2,33.3
Patrick Kane,RW,78,26,66,92,-19,18,21:49,9,22,287,9.1,1798,2,4,4,50.0,9,2,22.2
Alex Ovechkin,LW,77,50,40,90,8,18,20:34,16,13,334,15.0,1680,5,4,9,30.8,5,3,60.0
Nathan MacKinnon,C,65,32,56,88,22,42,21:03,7,20,299,10.7,1579,5,383,462,45.3,5,1,20.0
Aleksander Barkov,C,67,39,49,88,36,18,20:18,12,14,214,18.2,1559,5,712,540,56.9,5,3,60.0
Nazem Kadri,C,71,28,59,87,13,71,19:14,8,21,247,11.3,1601,6,585,592,49.7,4,1,25.0
Matt Duchene,C,78,43,43,86,6,38,19:00,16,13,228,18.9,1698,6,119,101,54.1,6,1,16.7
Cale Makar,D,77,28,58,86,48,26,25:40,9,25,240,11.7,2141,6,0,0,0.0,1,1,100.0
Victor Hedman,D,82,20,65,85,26,36,25:04,6,32,219,9.1,2214,6,0,0,0.0,5,1,20.0
Kevin Fiala,LW,82,33,52,85,23,52,17:38,5,12,262,12.6,1547,7,4,11,26.7,10,5,50.0
Sidney Crosby,C,69,31,53,84,19,32,19:58,8,22,208,14.9,1691,9,760,690,52.4,6,1,16.7
Filip Forsberg,LW,69,42,42,84,12,22,18:05,10,17,226,18.6,1515,8,1,0,100.0,7,1,14.3
Jake Guentzel,C,76,40,44,84,13,44,20:05,7,15,264,15.2,1825,7,13,12,52.0,9,1,11.1
Vladimir Tarasenko,RW,75,34,48,82,7,32,16:54,5,17,230,14.8,1649,9,4,7,36.4,4,0,0.0
Elias Lindholm,C,82,42,40,82,61,22,19:56,10,9,235,17.9,2076,9,841,751,52.8,1,0,0.0
Sam Reinhart,C,78,33,49,82,25,13,17:45,16,15,186,17.7,1596,6,174,185,48.5,2,1,50.0
Joe Pavelski,C,82,27,54,81,11,14,18:28,12,13,216,12.5,1989,2,394,357,52.5,6,3,50.0
Mika Zibanejad,C,81,29,52,81,30,12,19:37,15,13,219,13.2,1902,3,700,638,52.3,7,3,42.9
Sebastian Aho,C,79,37,44,81,18,38,18:57,13,15,221,16.7,1818,9,555,504,52.4,0,0,0.0
Brad Marchand,LW,70,32,48,80,16,97,19:15,7,20,242,13.2,1583,6,14,27,34.1,0,0,0.0
William Nylander,RW,81,34,46,80,-9,16,18:16,13,18,256,13.3,1774,7,34,31,52.3,4,1,25.0
Mats Zuccarello,RW,70,24,55,79,21,24,18:35,7,21,159,15.1,1327,2,21,34,38.2,8,2,25.0
Jason Robertson,LW,74,41,38,79,16,22,18:06,13,8,220,18.6,1681,11,0,0,0.0,6,2,33.3
Alex DeBrincat,RW,82,41,37,78,-13,19,20:51,14,14,270,15.2,1895,6,24,41,36.9,5,4,80.0
Evgeny Kuznetsov,C,79,24,54,78,7,44,20:16,8,19,208,11.5,1836,4,511,655,43.8,9,2,22.2
Chris Kreider,LW,81,52,25,77,19,24,18:43,26,9,258,20.2,1856,11,68,69,49.6,3,1,33.3
