Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Las Vegas Aces,32,89.3,32.6,69.6,46.8,5.1,13.5,37.5,17.9,21.9,81.9,7.4,31.3,38.7,20.9,6.8,4.6,11.6,14.2
Seattle Storm,32,84.8,31.0,68.8,45.0,8.6,22.7,37.9,14.2,16.9,83.9,7.2,28.4,35.6,21.3,7.6,4.2,12.4,15.5
Chicago Sky,32,83.3,30.8,69.9,44.1,7.3,21.2,34.3,14.3,17.0,84.5,8.3,26.7,35.0,21.8,7.0,4.5,13.8,19.0
Minnesota Lynx,32,82.7,29.7,66.0,45.0,6.8,19.8,34.0,14.6,17.4,83.7,7.3,27.7,34.9,20.4,6.8,4.1,14.0,17.5
Phoenix Mercury,32,82.1,27.9,63.4,44.0,7.5,21.8,34.6,15.5,19.4,79.8,8.0,28.2,36.2,19.7,4.8,5.2,12.8,16.3
Dallas Wings,32,81.1,29.3,70.5,41.6,8.2,23.1,35.4,13.6,16.4,82.9,10.0,26.1,36.1,17.4,6.8,3.9,12.8,18.4
Washington Mystics,32,79.8,27.7,69.2,40.0,9.0,27.4,32.8,14.0,17.4,80.8,8.1,25.2,33.3,18.6,6.9,3.1,12.3,17.2
Connecticut Sun,32,79.7,27.8,64.4,43.1,7.0,19.5,35.7,14.4,17.7,81.6,9.7,26.9,36.6,18.0,7.8,3.6,13.9,17.8
Atlanta Dream,32,78.7,30.2,73.0,41.3,6.1,19.8,31.0,11.3,15.7,72.0,9.7,24.4,34.2,17.4,8.9,4.7,11.1,18.4
New York Liberty,32,78.5,27.8,65.9,42.2,10.0,27.7,36.2,11.9,14.7,81.3,6.2,27.1,33.3,19.2,6.1,3.8,16.2,17.9
Indiana Fever,32,75.3,27.3,66.8,40.9,4.9,17.3,28.4,13.6,17.0,80.0,9.6,24.8,34.3,16.7,6.3,3.8,13.8,17.8
Los Angeles Sparks,32,72.8,26.1,65.3,39.9,6.8,20.2,33.5,11.9,15.6,76.6,6.1,23.2,29.2,15.4,8.3,4.2,13.2,19.3
