Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Tina Charles,C,27,33.3,23.4,8.8,19.6,44.9,1.9,5.1,36.5,3.9,4.7,82.0,9.6,2.1,0.9,0.9,2.2,2021
Brittney Griner,C,30,32.8,20.5,8.3,14.4,57.5,0.1,0.3,44.4,3.8,4.5,84.6,9.5,2.7,0.4,1.9,2.2,2021
Breanna Stewart,F,28,33.4,20.3,6.9,15.8,43.9,1.7,5.1,33.3,4.8,5.6,84.7,9.5,2.7,1.2,1.8,1.7,2021
Jonquel Jones,F,27,31.7,19.4,7.1,13.8,51.5,1.6,4.3,36.2,3.6,4.5,80.2,11.2,2.8,1.3,1.3,2.9,2021
Arike Ogunbowale,G,32,31.3,18.7,6.2,16.3,38.3,2.5,6.7,37.6,3.8,4.4,86.4,3.2,3.3,1.2,0.0,2.1,2021
A'ja Wilson,C,32,31.9,18.3,6.5,14.6,44.4,0.0,0.0,100.0,5.3,6.0,87.6,9.3,3.1,0.9,1.3,1.4,2021
Jewell Loyd,G,31,31.0,17.9,6.2,14.8,42.0,2.1,5.6,37.6,3.4,3.8,88.9,4.0,3.8,1.5,0.2,2.3,2021
Kelsey Mitchell,G,32,33.1,17.8,6.6,15.4,43.1,2.2,6.5,33.5,2.3,2.7,88.2,2.6,2.5,1.1,0.2,2.0,2021
Skylar Diggins-Smith,G,32,32.5,17.7,5.5,12.3,45.2,1.6,4.2,37.0,5.1,6.2,81.8,3.2,5.3,1.1,0.8,2.6,2021
Betnijah Laney-Hamilton,F,32,33.7,16.8,6.3,14.1,45.1,1.1,3.4,31.2,3.0,3.8,78.7,4.1,5.2,0.7,0.1,3.7,2021
Courtney Williams,G,32,34.4,16.5,7.1,17.1,41.8,1.2,3.2,38.2,1.1,1.7,64.2,6.8,4.0,1.1,0.5,1.8,2021
Ariel Atkins,G,30,30.6,16.2,5.4,13.2,40.7,2.2,6.1,35.9,3.3,3.9,83.1,2.8,2.6,1.6,0.5,2.0,2021
Napheesa Collier,F,29,34.6,16.2,6.0,13.7,44.1,0.7,2.9,25.3,3.4,3.9,86.0,6.6,3.2,1.3,1.3,2.3,2021
Sylvia Fowles,C,31,30.1,16.0,6.7,10.5,64.0,0.0,0.0,0.0,2.6,3.4,75.5,10.1,1.4,1.8,1.8,2.3,2021
DeWanna Bonner,F,32,31.9,15.2,5.0,12.6,39.5,1.4,4.3,31.7,3.9,4.3,89.2,6.4,3.4,1.3,0.7,2.2,2021
Kelsey Plum,G,26,25.5,14.8,4.9,11.3,43.7,1.7,4.4,38.6,3.3,3.5,94.4,2.5,3.6,1.0,0.0,1.7,2021
Brionna Jones,F,32,30.6,14.7,6.1,10.6,57.1,0.0,0.1,0.0,2.6,3.2,79.6,7.3,1.8,1.4,0.5,2.2,2021
Tiffany Hayes,G,21,28.3,14.7,5.0,11.4,43.8,1.6,4.0,40.5,3.0,3.6,85.3,3.2,3.0,1.6,0.2,1.5,2021
Kahleah Copper,G,32,30.8,14.4,5.4,11.8,45.9,0.8,2.7,30.6,2.8,3.4,81.8,4.2,1.8,0.9,0.3,1.9,2021
Liz Cambage,C,25,23.8,14.2,5.6,10.3,54.3,0.2,0.6,35.7,2.8,4.0,71.0,8.2,1.3,0.9,1.6,1.8,2021
Kayla McBride,G,32,31.6,13.7,4.5,10.3,43.3,1.9,5.0,37.9,2.8,3.1,91.0,3.6,2.3,0.8,0.2,1.1,2021
Erica Wheeler,G,32,30.2,13.6,5.0,12.0,41.7,1.0,2.9,35.5,2.5,3.1,82.7,3.1,4.8,1.3,0.3,2.7,2021
Candace Parker,F,23,26.7,13.3,5.0,11.0,45.9,1.0,3.2,32.9,2.2,2.7,79.4,8.4,4.0,0.7,1.2,2.4,2021
Marina Mabrey,G,32,24.2,13.3,4.9,12.2,40.5,2.0,5.8,34.2,1.4,1.6,88.2,3.9,2.9,1.0,0.3,2.1,2021
Allie Quigley,G,26,24.4,13.2,4.7,10.4,44.8,2.1,4.6,45.4,1.8,1.9,95.9,2.7,2.3,0.5,0.3,1.2,2021
Jackie Young,G,32,31.8,12.2,4.8,9.6,50.5,0.2,0.6,25.0,2.3,2.8,83.3,4.1,3.2,1.1,0.3,1.5,2021
Tiffany Mitchell,G,28,27.3,12.0,3.8,9.1,42.1,0.4,1.7,25.5,3.9,4.5,88.0,2.9,2.0,0.6,0.0,1.9,2021
Allisha Gray,G,25,27.8,11.9,4.2,9.7,43.8,1.2,3.3,36.6,2.2,2.6,86.2,5.2,1.7,1.0,0.8,1.4,2021
Sabrina Ionescu,G,30,30.0,11.7,3.8,9.9,37.9,1.8,5.5,32.5,2.4,2.6,91.1,5.7,6.1,0.6,0.5,3.2,2021
Sami Whitcomb,G,30,28.1,11.7,4.1,8.7,47.3,2.5,6.0,42.5,0.9,1.1,81.8,5.0,2.7,1.0,0.3,2.1,2021
Dearica Hamby,F,29,24.5,11.6,4.4,8.0,54.5,0.3,1.2,25.0,2.6,3.9,65.5,6.7,1.7,1.1,0.1,1.5,2021
Diamond DeShields,G,32,26.9,11.3,3.8,9.8,39.3,0.8,2.5,30.0,2.8,3.5,82.0,3.5,2.3,1.2,0.4,1.9,2021
Teaira McCowan,C,32,26.5,11.3,4.3,8.0,53.7,0.0,0.0,0.0,2.7,4.1,64.4,9.6,1.1,0.6,1.6,1.7,2021
Chelsea Gray,G,32,28.9,11.1,4.6,10.2,45.4,0.8,2.2,38.0,1.0,1.1,88.9,2.9,5.9,1.2,0.3,2.8,2021
Isabelle Harrison,F,28,23.8,10.9,4.6,8.6,53.8,0.0,0.0,0.0,1.7,2.1,78.3,5.9,1.1,1.1,0.7,1.5,2021
Jasmine Thomas,G,30,29.6,10.6,3.8,9.8,38.6,1.4,3.5,40.0,1.6,1.9,87.5,2.4,4.0,1.3,0.2,2.2,2021
Riquna Williams,G,32,26.0,10.5,3.6,8.0,44.4,2.0,4.7,41.7,1.4,1.6,92.0,2.6,1.6,0.8,0.4,0.7,2021
Courtney Vandersloot,G,32,30.5,10.5,4.0,9.3,43.3,1.1,3.3,34.6,1.3,1.5,85.7,3.4,8.6,1.7,0.4,3.0,2021
Layshia Clarendon,G,21,25.7,10.4,4.4,8.5,51.7,0.2,0.7,35.7,1.4,1.8,78.4,3.1,5.7,0.6,0.0,3.0,2021
Sue Bird,G,30,27.7,10.0,3.5,8.2,43.1,2.2,5.3,41.9,0.7,0.8,83.3,2.6,5.3,0.9,0.1,1.6,2021
Danielle Robinson,G,24,27.5,9.9,3.7,8.8,41.7,0.2,1.0,20.0,2.3,2.6,88.9,3.5,3.7,1.5,0.1,1.8,2021
Kia Nurse,G,32,26.1,9.5,3.1,8.5,35.9,1.8,5.2,35.3,1.5,1.9,79.0,3.5,1.8,0.5,0.1,1.5,2021
Brittney Sykes,G,32,29.3,9.4,3.6,8.9,40.5,0.3,1.3,26.2,1.9,2.5,77.2,4.6,2.2,1.8,0.5,1.4,2021
Amanda Zahui B.,C,30,23.8,9.2,3.5,8.3,42.7,1.0,3.6,28.0,1.1,1.4,76.7,5.1,1.0,0.6,1.2,1.8,2021
Rebecca Allen,G,25,24.2,9.2,3.0,8.6,34.3,1.9,5.0,38.1,1.3,1.5,89.2,3.7,1.1,1.6,1.2,0.8,2021
Te'a Cooper,G,31,22.0,9.1,3.1,8.3,37.9,0.8,2.4,32.4,2.0,2.7,75.0,1.7,1.4,0.9,0.2,1.8,2021
Crystal Bradford,F,24,18.3,8.8,3.4,8.0,42.9,1.2,3.4,35.8,0.8,1.6,46.2,3.8,1.5,1.2,0.4,1.0,2021
Odyssey Sims,G,30,25.1,8.7,3.5,9.5,37.0,0.5,2.3,23.2,1.2,1.6,72.9,2.5,3.6,1.2,0.1,1.6,2021
Natasha Cloud,G,27,31.6,8.7,3.0,7.7,38.9,1.0,3.5,27.4,1.7,2.0,83.6,3.6,6.4,1.4,0.1,2.2,2021
Michaela Onyenwere,F,32,22.5,8.6,2.8,7.1,39.9,1.2,3.5,32.7,1.8,2.1,83.6,2.9,0.6,0.4,0.3,1.1,2021
