Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Phoenix Mercury,34,88.5,31.4,73.1,43.0,6.8,20.6,32.8,18.9,22.7,83.1,11.0,25.0,36.1,16.5,6.8,4.6,14.1,23.4
Minnesota Lynx,34,81.4,29.1,67.8,43.0,3.9,12.1,32.2,19.2,25.4,75.5,10.4,23.3,33.7,16.4,9.1,3.8,13.4,22.1
Connecticut Sun,34,79.1,28.4,67.2,42.2,6.5,19.7,33.0,15.9,21.3,74.6,10.9,25.6,36.4,17.9,6.2,2.9,13.5,18.5
Detroit Shock,34,78.6,28.6,67.5,42.4,4.9,14.0,35.3,16.4,21.9,74.7,11.9,24.8,36.7,17.8,8.2,3.5,14.2,21.3
Los Angeles Sparks,34,76.4,28.1,66.1,42.4,4.4,14.3,31.1,15.9,21.1,75.2,11.4,26.4,37.7,18.0,7.4,6.4,16.9,21.0
New York Liberty,34,75.7,26.8,63.8,42.1,7.6,20.8,36.7,14.4,19.2,75.0,9.6,22.9,32.5,16.2,8.5,3.4,15.3,19.3
San Antonio Silver Stars,34,74.9,26.5,61.2,43.3,5.4,15.9,34.0,16.6,20.5,80.9,7.2,24.9,32.1,17.7,8.0,4.4,14.3,17.8
Atlanta Dream,34,74.5,26.3,66.4,39.6,5.9,17.6,33.8,15.9,21.3,74.6,10.0,21.7,31.7,14.5,8.4,4.2,16.4,23.4
Seattle Storm,34,73.3,26.4,62.1,42.6,4.2,13.3,31.6,16.2,21.4,75.8,10.0,24.1,34.2,15.6,7.9,4.1,14.3,20.1
Indiana Fever,34,72.7,25.8,64.1,40.2,6.6,19.5,34.1,14.6,19.3,75.5,10.3,22.9,33.1,14.7,9.5,4.9,16.1,21.4
Chicago Sky,34,72.7,26.4,61.6,43.0,3.2,10.0,32.4,16.6,23.9,69.5,10.5,22.6,33.1,16.1,7.8,4.3,14.2,18.8
Washington Mystics,34,69.6,26.0,62.7,41.5,4.8,13.5,35.4,12.8,19.4,66.0,10.6,22.6,33.3,14.2,7.1,2.7,17.7,22.3
