Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Phoenix Mercury,34,89.0,31.2,67.7,46.1,7.0,18.9,37.3,19.5,22.9,85.1,9.1,26.0,35.1,19.2,6.6,3.9,15.0,20.0
Atlanta Dream,34,82.5,31.9,71.5,44.6,2.2,8.4,26.1,16.6,23.9,69.4,11.5,24.6,36.1,18.4,9.3,5.3,14.4,18.7
Minnesota Lynx,34,81.5,31.6,68.5,46.1,5.0,13.5,36.8,13.4,18.1,73.7,10.9,25.6,36.5,18.1,7.3,3.6,12.2,17.7
Connecticut Sun,34,80.1,29.7,70.1,42.4,5.9,16.4,36.3,14.8,19.4,76.3,10.0,25.6,35.6,17.1,7.3,3.4,12.5,15.7
Indiana Fever,34,77.7,27.5,62.2,44.3,6.6,17.3,37.9,16.1,20.4,78.8,8.7,22.9,31.6,16.4,8.8,4.9,13.6,17.9
San Antonio Silver Stars,34,77.6,28.5,66.2,43.0,6.5,18.2,35.6,14.1,18.8,75.2,7.1,24.2,31.3,18.1,8.4,3.6,11.8,17.4
Los Angeles Sparks,34,77.1,28.6,64.4,44.5,7.0,17.6,39.6,12.9,16.3,79.4,8.6,23.1,31.7,18.1,7.3,3.4,14.6,16.9
New York Liberty,34,76.0,29.4,67.8,43.3,5.8,16.2,35.8,11.4,14.8,77.2,10.5,22.3,32.8,15.7,8.4,3.8,13.9,18.9
Chicago Sky,34,74.2,27.7,63.3,43.8,4.8,13.2,36.4,14.0,18.1,77.1,9.1,24.6,33.8,16.7,7.9,5.4,16.6,18.2
Seattle Storm,34,71.6,26.2,59.9,43.8,6.3,17.6,35.6,12.9,16.1,80.0,7.9,23.7,31.6,16.0,7.4,3.4,15.2,18.9
Washington Mystics,34,70.8,25.8,63.7,40.6,5.0,15.3,32.9,14.1,19.4,73.1,11.5,21.6,33.1,14.0,8.3,3.3,15.7,18.7
Tulsa Shock,34,69.2,24.9,62.9,39.6,4.9,17.3,28.4,14.4,18.0,80.2,8.9,21.8,30.7,14.4,7.4,3.1,16.0,20.0
