Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Arike Ogunbowale,G,22,34.0,22.8,7.9,19.1,41.2,2.2,6.5,33.6,4.9,5.7,85.6,2.8,3.4,1.5,0.0,2.0,2020
A'ja Wilson,C,22,31.7,20.5,7.5,15.7,48.0,0.0,0.0,0.0,5.4,6.9,78.1,8.5,2.0,1.2,2.0,1.6,2020
DeWanna Bonner,F,22,33.3,19.7,6.7,16.0,42.2,1.2,4.9,25.2,5.0,5.6,89.5,7.8,3.0,1.7,0.5,2.4,2020
Breanna Stewart,F,20,30.4,19.7,6.7,14.8,45.1,1.8,4.8,36.8,4.7,5.2,89.4,8.3,3.6,1.7,1.3,2.5,2020
Diana Taurasi,G,19,28.1,18.7,5.1,12.4,40.9,3.2,8.8,36.5,5.4,5.9,91.2,4.2,4.5,1.0,0.4,2.3,2020
Kelsey Mitchell,G,22,32.1,17.9,6.3,14.0,44.8,2.5,6.5,38.9,2.8,3.3,84.9,2.2,2.8,0.6,0.1,2.5,2020
Skylar Diggins-Smith,G,22,30.7,17.7,5.8,12.2,47.4,2.1,5.3,39.7,4.1,4.5,90.0,3.3,4.2,0.9,0.5,3.2,2020
Chennedy Carter,G,16,25.4,17.4,6.6,14.0,47.3,0.8,2.0,37.5,3.4,4.2,82.1,2.3,3.4,0.9,0.3,2.7,2020
Betnijah Laney-Hamilton,F,22,33.3,17.2,6.5,13.5,48.1,1.4,3.4,40.5,2.8,3.4,82.7,4.9,4.0,1.6,0.1,3.0,2020
Myisha Hines-Allen,F,22,30.0,17.0,6.8,13.4,51.0,1.2,2.8,42.6,2.2,2.6,82.8,8.9,2.6,1.5,0.2,2.2,2020
Crystal Dangerfield,G,21,30.0,16.2,5.9,12.5,47.1,1.6,4.9,33.3,2.8,3.0,92.2,2.0,3.6,0.9,0.0,2.5,2020
Napheesa Collier,F,22,34.2,16.1,6.2,11.8,52.3,0.9,2.2,40.8,2.9,3.5,82.9,9.0,3.3,1.8,1.3,2.7,2020
Alyssa Thomas,F,21,32.8,15.5,5.8,11.6,50.0,0.0,0.0,0.0,3.9,5.6,68.6,9.0,4.8,2.0,0.3,2.5,2020
