Timestamp,First Name,Shot Distance (feet),Shot Made?
11/8/2023 13:24:53,Ishruna,8,FALSE
11/8/2023 13:24:54,Dustin,10,FALSE
11/8/2023 13:24:56,Julie,2,TRUE
11/8/2023 13:24:56,Rolland,4,FALSE
11/8/2023 13:24:57,IT dept,6,FALSE
11/8/2023 13:24:58,Kobe,10,TRUE
11/8/2023 13:25:07,Scott,8,FALSE
11/8/2023 13:25:08,Kobe,10,TRUE
11/8/2023 13:25:08,IT dept,4,FALSE
11/8/2023 13:25:09,Kevin,6,TRUE
11/8/2023 13:25:11,Bernadette ,4,TRUE
11/8/2023 13:25:11,Terry ,8,FALSE
11/8/2023 13:25:13,Riley,4,FALSE
11/8/2023 13:25:15,Kobe,10,TRUE
11/8/2023 13:25:17,Scott,10,FALSE
11/8/2023 13:25:18,Dennis,2,TRUE
11/8/2023 13:25:20,IT dept,2,FALSE
11/8/2023 13:25:20,Rolland,6,FALSE
11/8/2023 13:25:21,Daryl,6,FALSE
11/8/2023 13:25:22,Kobe,10,TRUE
11/8/2023 13:25:24,Scott,2,FALSE
11/8/2023 13:25:24,Bernadette ,8,FALSE
11/8/2023 13:25:26,Terry ,8,TRUE
11/8/2023 13:25:27,kirsten,6,TRUE
11/8/2023 13:25:29,Kobe,8,TRUE
11/8/2023 13:25:30,IT dept,8,TRUE
11/8/2023 13:25:31,Scott,6,FALSE
11/8/2023 13:25:33,Riley,10,FALSE
11/8/2023 13:25:35,John,4,TRUE
11/8/2023 13:25:35,Daryl,6,FALSE
11/8/2023 13:25:37,kirsten,8,FALSE
11/8/2023 13:25:37,Alina,4,TRUE
11/8/2023 13:25:38,Kobe,6,TRUE
11/8/2023 13:25:38,I,8,FALSE
11/8/2023 13:25:38,David,4,TRUE
11/8/2023 13:25:38,Scott,8,FALSE
11/8/2023 13:25:41,Divine,6,FALSE
11/8/2023 13:25:41,IT dept,10,FALSE
11/8/2023 13:25:43,Riley,10,FALSE
11/8/2023 13:25:45,Daryl,6,FALSE
11/8/2023 13:25:45,Kobe,4,TRUE
11/8/2023 13:25:46,kirsten,8,TRUE
11/8/2023 13:25:46,Scott,2,FALSE
11/8/2023 13:25:47,Bernadette ,10,FALSE
11/8/2023 13:25:50,Omar,4,TRUE
11/8/2023 13:25:51,Divine,2,TRUE
11/8/2023 13:25:52,John,4,TRUE
