Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Connecticut Sun,34,87.6,33.6,72.2,46.6,7.6,20.7,36.7,12.7,17.0,74.8,11.0,25.9,36.9,19.6,7.2,3.0,13.0,19.4
Seattle Storm,34,87.2,32.1,68.7,46.8,9.0,24.0,37.6,13.9,17.2,80.7,8.4,27.1,35.4,21.2,7.8,4.4,12.7,16.4
Dallas Wings,34,86.6,30.5,69.1,44.1,6.7,22.1,30.5,18.9,23.9,79.1,10.6,26.1,36.6,18.1,6.7,4.6,13.5,18.6
Phoenix Mercury,34,85.8,29.9,65.3,45.7,8.5,23.5,36.0,17.5,20.6,84.9,7.2,25.4,32.6,20.6,5.8,4.7,12.7,18.8
Washington Mystics,33,84.5,30.5,68.0,44.8,8.4,23.4,35.8,15.2,17.7,85.8,8.6,24.0,32.6,17.8,7.2,3.8,11.2,18.4
Las Vegas Aces,33,84.4,31.3,70.7,44.2,3.8,10.9,34.6,18.1,23.5,77.1,9.4,27.5,36.8,20.2,6.3,3.9,12.4,17.7
Chicago Sky,34,83.8,31.0,68.5,45.3,7.2,19.7,36.4,14.5,18.2,79.8,8.2,24.9,33.1,21.2,6.7,3.9,14.4,18.5
Atlanta Dream,34,81.8,29.9,70.1,42.6,5.9,18.4,31.8,16.2,21.7,74.6,9.8,26.0,35.8,18.2,7.6,5.3,12.5,18.2
Minnesota Lynx,34,78.9,30.4,67.4,45.1,5.4,15.6,34.6,12.9,16.5,77.9,8.9,26.3,35.3,19.6,6.9,2.9,13.6,16.6
Los Angeles Sparks,34,78.9,30.2,66.7,45.2,6.0,17.3,34.7,12.6,15.5,81.0,7.2,24.1,31.3,18.3,7.9,2.8,10.9,16.4
New York Liberty,34,77.7,29.4,68.1,43.2,6.6,21.0,31.7,12.1,15.9,76.3,8.6,25.5,34.1,19.5,6.6,2.7,14.0,20.7
Indiana Fever,34,76.4,28.9,71.0,40.6,5.6,17.4,32.5,13.0,16.1,81.0,8.9,24.1,33.0,16.0,6.4,2.7,11.2,18.6
